modelo,bic_mean,bic_std
nii_6584_ew_mean,-10137.12861328125,92.23352308057916
halpha_ew_mean,-9634.54677734375,79.55748274051345
oiii_5007_ew_mean,-8575.73955078125,126.40356783332032
hbeta_ew_mean,-10187.92265625,125.81855677390442
nii_6584_ew_std,-13350.8595703125,108.47581628587696
halpha_ew_std,-12584.6587890625,80.05626861502957
oiii_5007_ew_std,-11422.49765625,92.10088058758971
hbeta_ew_std,-12615.36064453125,109.40573625925016
cov_nii_6584_ew_halpha_ew,-16903.3259765625,118.54684095948096
cov_nii_6584_ew_oiii_5007_ew,-16547.45068359375,86.71328117570839
cov_nii_6584_ew_hbeta_ew,-17275.9283203125,95.66423903494233
cov_halpha_ew_oiii_5007_ew,-14957.25615234375,153.5141012685853
cov_halpha_ew_hbeta_ew,-15511.9255859375,87.81240785728318
cov_oiii_5007_ew_hbeta_ew,-15153.4267578125,157.28357763176777
