modelo,bic_mean,bic_std,IC_low,IC_high
nii_6584_ew_mean,-10137,92.2,-10414,-9860.4
halpha_ew_mean,-9634.5,79.6,-9873.2,-9395.9
oiii_5007_ew_mean,-8575.7,126,-8955.0,-8196.5
hbeta_ew_mean,-10188,126,-10565,-9810.5
nii_6584_ew_std,-13351,108,-13676,-13025
halpha_ew_std,-12585,80.1,-12825,-12344
oiii_5007_ew_std,-11422,92.1,-11699,-11146
hbeta_ew_std,-12615,109,-12944,-12287
cov_nii_6584_ew_halpha_ew,-16903,119,-17259,-16548
cov_nii_6584_ew_oiii_5007_ew,-16547,86.7,-16808,-16287
cov_nii_6584_ew_hbeta_ew,-17276,95.7,-17563,-16989
cov_halpha_ew_oiii_5007_ew,-14957,154,-15418,-14497
cov_halpha_ew_hbeta_ew,-15512,87.8,-15775,-15248
cov_oiii_5007_ew_hbeta_ew,-15153,157,-15625,-14682
