col_x,model,popsize
aZmass,cov_halpha_ew_hbeta_ew,550
aZmass,cov_halpha_ew_oiii_5007_ew,500
aZmass,cov_nii_6584_ew_halpha_ew,1050
aZmass,cov_nii_6584_ew_hbeta_ew,650
aZmass,cov_nii_6584_ew_oiii_5007_ew,1100
aZmass,cov_oiii_5007_ew_hbeta_ew,1050
aZmass,halpha_ew_mean,650
aZmass,halpha_ew_std,850
aZmass,hbeta_ew_mean,1300
aZmass,hbeta_ew_std,1300
aZmass,nii_6584_ew_mean,700
aZmass,nii_6584_ew_std,1300
aZmass,oiii_5007_ew_mean,1150
aZmass,oiii_5007_ew_std,700
atflux,cov_halpha_ew_hbeta_ew,600
atflux,cov_halpha_ew_oiii_5007_ew,550
atflux,cov_nii_6584_ew_halpha_ew,1350
atflux,cov_nii_6584_ew_hbeta_ew,600
atflux,cov_nii_6584_ew_oiii_5007_ew,1150
atflux,cov_oiii_5007_ew_hbeta_ew,550
atflux,halpha_ew_mean,700
atflux,halpha_ew_std,1150
atflux,hbeta_ew_mean,500
atflux,hbeta_ew_std,750
atflux,nii_6584_ew_mean,1050
atflux,nii_6584_ew_std,850
atflux,oiii_5007_ew_mean,650
atflux,oiii_5007_ew_std,1250
mass,cov_halpha_ew_hbeta_ew,850
mass,cov_halpha_ew_oiii_5007_ew,550
mass,cov_nii_6584_ew_halpha_ew,600
mass,cov_nii_6584_ew_hbeta_ew,1000
mass,cov_nii_6584_ew_oiii_5007_ew,900
mass,cov_oiii_5007_ew_hbeta_ew,700
mass,halpha_ew_mean,1400
mass,halpha_ew_std,1400
mass,hbeta_ew_mean,600
mass,hbeta_ew_std,1050
mass,nii_6584_ew_mean,850
mass,nii_6584_ew_std,1400
mass,oiii_5007_ew_mean,500
mass,oiii_5007_ew_std,1450
