Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,130,27,-1305.9654541015625,0.995370864868164,0.0001267023873199,0.9880807710543548,0.0003427433720352
halpha_ew_mean,130,40,-1268.0662841796875,0.9987794756889344,0.0001380312327113,0.996168330372498,0.000441999480772
oiii_5007_ew_mean,130,24,-1209.1343994140625,0.9978918433189392,0.0002336855345878,0.9934048584895396,0.0007196711214543
hbeta_ew_mean,130,37,-1289.350830078125,0.998664379119873,0.0001238396149742,0.9959561904737606,0.0003832310065642
nii_6584_ew_std,130,26,-1327.7041015625,0.9446887373924256,0.0001096087072257,0.8458245650272891,0.0003117516312686
halpha_ew_std,130,28,-1319.23876953125,0.9884097576141356,0.000108477587284,0.9654063544581012,0.000343986446792
oiii_5007_ew_std,130,30,-1181.61767578125,0.8219850659370422,0.0002807378335197,0.6333649798912799,0.0007025397792626
hbeta_ew_std,130,33,-1309.745849609375,0.9840266704559326,0.0001117678991494,0.9605614508422594,0.0002926589722691
cov_nii_6584_ew_halpha_ew,130,28,-1528.2947998046875,0.9804357886314392,2.78334947623627e-05,0.927747164800126,0.0001187214071757
cov_nii_6584_ew_oiii_5007_ew,130,39,-1508.0921630859375,0.9620593786239624,2.880970053939152e-05,0.8862794176995814,0.0001017831155092
cov_nii_6584_ew_hbeta_ew,130,31,-1546.4534912109375,0.9737995862960817,2.3849855861657903e-05,0.923072877434084,7.889773824418306e-05
cov_halpha_ew_oiii_5007_ew,130,35,-1406.985595703125,0.9628557562828064,5.844929746513748e-05,0.8706260292695451,0.0002354941101463
cov_halpha_ew_hbeta_ew,130,39,-1463.58251953125,0.9900866746902466,3.625705467227332e-05,0.948270655864227,0.0002083694390474
cov_oiii_5007_ew_hbeta_ew,130,30,-1425.6607666015625,0.9536985754966736,5.517263713807503e-05,0.8541796114595047,0.0001946997967342
nii_6584_ew_mean,850,27,-1302.9769287109375,0.99527770280838,0.0001292520461417,0.988195603906562,0.0003394412961069
halpha_ew_mean,850,40,-1264.678955078125,0.9987925887107848,0.0001365455085941,0.996203336467166,0.0004379613780201
oiii_5007_ew_mean,850,27,-1213.0064697265625,0.99787575006485,0.000235466034233,0.9934022864319648,0.0007199517879959
hbeta_ew_mean,850,32,-1291.6788330078125,0.998594045639038,0.0001303569560633,0.9958676683727342,0.0003916202280791
nii_6584_ew_std,850,26,-1327.97607421875,0.9447889924049376,0.0001094099970725,0.8477459425160981,0.0003078664950501
halpha_ew_std,850,25,-1317.9820556640625,0.9883122444152832,0.0001093902427063,0.9643025358790668,0.0003549624114513
oiii_5007_ew_std,850,27,-1178.52099609375,0.8182718753814697,0.000286593709695,0.6172695811365254,0.0007333815081431
hbeta_ew_std,850,31,-1314.0863037109375,0.9839550852775574,0.0001122684917995,0.9580632409539336,0.0003111972692918
cov_nii_6584_ew_halpha_ew,850,27,-1525.9964599609375,0.9807863235473632,2.733475205138542e-05,0.9305754584865534,0.0001140741292464
cov_nii_6584_ew_oiii_5007_ew,850,26,-1508.6748046875,0.95822274684906,3.172296228959045e-05,0.8810683203029404,0.0001064471940561
cov_nii_6584_ew_hbeta_ew,850,23,-1553.3902587890625,0.974133849143982,2.354555960602911e-05,0.9191613124364386,8.290950445895208e-05
cov_halpha_ew_oiii_5007_ew,850,40,-1399.675537109375,0.9622819423675536,5.9352201109726e-05,0.8647157691471679,0.0002462523132098
cov_halpha_ew_hbeta_ew,850,34,-1459.924560546875,0.9887712597846984,4.106816345563318e-05,0.9585241698151196,0.0001670675631797
cov_oiii_5007_ew_hbeta_ew,850,34,-1412.9805908203125,0.9544188380241394,5.431438992128764e-05,0.8540447718938524,0.0001948798349051
nii_6584_ew_mean,820,24,-1305.5223388671875,0.9951995015144348,0.0001313938432876,0.9882013461936352,0.0003392761737786
halpha_ew_mean,820,44,-1265.78564453125,0.9987607598304749,0.0001401459975821,0.9962342571570604,0.0004343945441834
oiii_5007_ew_mean,820,27,-1213.1827392578125,0.9978782534599304,0.0002351895191508,0.9933878106579066,0.0007215314048296
hbeta_ew_mean,820,32,-1290.266357421875,0.9985807538032532,0.0001315902752588,0.9959772934081842,0.0003812310857598
nii_6584_ew_std,820,16,-1328.640380859375,0.9392390847206116,0.0001204081238345,0.8422951841151174,0.0003188882432518
halpha_ew_std,820,32,-1318.831298828125,0.9883782267570496,0.0001087726132676,0.964034375195805,0.0003576289023389
oiii_5007_ew_std,820,35,-1181.8243408203125,0.8337187767028809,0.0002622332724978,0.6147379511500096,0.0007382325743926
hbeta_ew_std,820,32,-1314.2099609375,0.9839683175086976,0.0001121760080918,0.960520506223481,0.0002929628072303
cov_nii_6584_ew_halpha_ew,820,30,-1524.703857421875,0.9806200861930848,2.757131380635181e-05,0.9315181189460876,0.0001125252076582
cov_nii_6584_ew_oiii_5007_ew,820,22,-1511.6895751953125,0.9576631784439088,3.214787147274858e-05,0.8771010875662015,0.0001099979787929
cov_nii_6584_ew_hbeta_ew,820,25,-1550.2550048828125,0.9744552373886108,2.3253005374102567e-05,0.9225703153622092,7.941317427604898e-05
cov_halpha_ew_oiii_5007_ew,820,32,-1410.039306640625,0.9636042714118958,5.727144008026231e-05,0.8632005568089646,0.0002490103918191
cov_halpha_ew_hbeta_ew,820,30,-1454.3199462890625,0.9879478216171264,4.407982321962032e-05,0.9602629508518444,0.0001600636307831
cov_oiii_5007_ew_hbeta_ew,820,36,-1413.029296875,0.9528858065605164,5.614115703633444e-05,0.8561796578080688,0.0001920293291719
nii_6584_ew_mean,960,27,-1304.3529052734375,0.9953208565711976,0.0001280717672958,0.9881174695588624,0.0003416880882379
halpha_ew_mean,960,34,-1263.9276123046875,0.9986586570739746,0.0001516962929175,0.9962937312589544,0.0004275339521408
oiii_5007_ew_mean,960,29,-1213.4373779296875,0.9978818893432616,0.0002347905906022,0.9933853494557772,0.0007217999746691
hbeta_ew_mean,960,32,-1292.1619873046875,0.998598575592041,0.0001299376542315,0.9960199527099768,0.000377188272403
nii_6584_ew_std,960,25,-1326.4752197265625,0.944233775138855,0.000110510319678,0.8437174716703,0.0003160122956954
halpha_ew_std,960,27,-1319.15185546875,0.988403022289276,0.0001085403373066,0.9644727150652248,0.0003532702124175
oiii_5007_ew_std,960,26,-1175.6796875,0.8147968053817749,0.0002920741640879,0.5997434215839201,0.000766964836489
hbeta_ew_std,960,29,-1316.4912109375,0.9842103123664856,0.0001104828976088,0.9606053525366004,0.0002923331939375
cov_nii_6584_ew_halpha_ew,960,38,-1523.499755859375,0.9817264080047609,2.599734639072611e-05,0.9313865972026638,0.0001127413160837
cov_nii_6584_ew_oiii_5007_ew,960,31,-1508.22802734375,0.9580981731414796,3.181756939574814e-05,0.8872349537749197,0.0001009278838813
cov_nii_6584_ew_hbeta_ew,960,31,-1551.3409423828125,0.9746394753456116,2.3085284555328265e-05,0.9206526957184772,8.137991692359107e-05
cov_halpha_ew_oiii_5007_ew,960,27,-1407.749755859375,0.9604912400245668,6.217008620898236e-05,0.8735414848617598,0.0002301872264163
cov_halpha_ew_hbeta_ew,960,28,-1457.028076171875,0.988163411617279,4.3291119864018026e-05,0.9614883454861428,0.0001551276549491
cov_oiii_5007_ew_hbeta_ew,960,35,-1413.6072998046875,0.954608917236328,5.4087914063769817e-05,0.8534092305130682,0.0001957284115609
nii_6584_ew_mean,240,25,-1303.1138916015625,0.9952820539474488,0.0001291340616523,0.988218594744848,0.0003387801830872
halpha_ew_mean,240,38,-1269.6378173828125,0.9987921714782716,0.0001365926570209,0.99622541936127,0.0004354140217298
oiii_5007_ew_mean,240,27,-1213.47900390625,0.9978824853897096,0.0002347256174526,0.9933835687164454,0.0007219942914506
hbeta_ew_mean,240,41,-1288.22900390625,0.998654305934906,0.000124769280728,0.996060629968356,0.0003733332968973
nii_6584_ew_std,240,18,-1330.15966796875,0.9398514032363892,0.0001191947595481,0.8442430894286675,0.00031494946624
halpha_ew_std,240,28,-1319.2386474609375,0.9884097576141356,0.0001084775914394,0.965407567808283,0.0003439743816855
oiii_5007_ew_std,240,32,-1184.8089599609375,0.8314576148986816,0.0002657992916413,0.6073320640117033,0.0007524236091547
hbeta_ew_std,240,30,-1311.3702392578125,0.983661949634552,0.0001143198717139,0.9602337733009796,0.0002950905468203
cov_nii_6584_ew_halpha_ew,240,32,-1525.4713134765625,0.9807189702987672,2.7430603184618094e-05,0.9254933116277356,0.0001224247998447
cov_nii_6584_ew_oiii_5007_ew,240,26,-1508.6746826171875,0.95822274684906,3.1722972557886525e-05,0.8810685277517439,0.0001064470083836
cov_nii_6584_ew_hbeta_ew,240,30,-1547.6744384765625,0.9740119576454164,2.36565137572272e-05,0.9214578836911188,8.05541027271948e-05
cov_halpha_ew_oiii_5007_ew,240,32,-1408.8695068359375,0.9633193612098694,5.771983994657361e-05,0.8693941284771223,0.0002377364884181
cov_halpha_ew_hbeta_ew,240,33,-1450.6527099609375,0.9876495003700256,4.517076604743372e-05,0.954766123967142,0.0001822052363581
cov_oiii_5007_ew_hbeta_ew,240,25,-1421.29248046875,0.9507111310958862,5.873248876698522e-05,0.8549842282696651,0.0001936254700852
nii_6584_ew_mean,770,26,-1306.9378662109375,0.9954007863998412,0.0001258836715464,0.9878363556261156,0.0003497716595557
halpha_ew_mean,770,36,-1268.031005859375,0.9986504912376404,0.0001526165715094,0.996106549688478,0.0004491261469289
oiii_5007_ew_mean,770,29,-1213.1824951171875,0.9978782534599304,0.0002351900658468,0.9933878804272414,0.0007215237915016
hbeta_ew_mean,770,33,-1289.02392578125,0.9985689520835876,0.0001326846406092,0.995689493338862,0.0004085058398104
nii_6584_ew_std,770,31,-1326.720703125,0.9496338963508606,9.980908330712213e-05,0.8472734299232387,0.0003088219427947
halpha_ew_std,770,29,-1318.745361328125,0.9883715510368348,0.0001088349606897,0.9639329397389296,0.0003586375390941
oiii_5007_ew_std,770,26,-1178.7894287109375,0.8185967803001404,0.0002860814174948,0.6195880803427845,0.0007289388394638
hbeta_ew_std,770,33,-1316.7884521484375,0.9847592711448668,0.0001066417300334,0.9593399876181052,0.0003017230017398
cov_nii_6584_ew_halpha_ew,770,32,-1525.8018798828125,0.9813934564590454,2.647103431960308e-05,0.9272901993503084,0.0001194722646484
cov_nii_6584_ew_oiii_5007_ew,770,37,-1512.57763671875,0.9631771445274352,2.796092793244551e-05,0.8812208858044733,0.0001063106436468
cov_nii_6584_ew_hbeta_ew,770,28,-1549.654541015625,0.974352777004242,2.334628330480052e-05,0.9220097825772284,7.998806603686842e-05
cov_halpha_ew_oiii_5007_ew,770,32,-1405.758056640625,0.9625505208969116,5.892959499174177e-05,0.8745908394580804,0.0002282771294664
cov_halpha_ew_hbeta_ew,770,32,-1451.9801025390625,0.9881604909896852,4.330190000398684e-05,0.9566955612436562,0.0001744333272086
cov_oiii_5007_ew_hbeta_ew,770,37,-1412.813232421875,0.9558671116828918,5.258863944080455e-05,0.8619344015895624,0.0001843455789383
nii_6584_ew_mean,720,27,-1307.3870849609375,0.9954145550727844,0.0001255071972028,0.988028054110746,0.0003442592740368
halpha_ew_mean,720,38,-1269.328125,0.9987486004829408,0.000141524467837,0.9960834710637598,0.0004517883650045
oiii_5007_ew_mean,720,29,-1213.0948486328125,0.99787700176239,0.0002353273435229,0.993386651732221,0.0007216578684311
hbeta_ew_mean,720,34,-1286.273193359375,0.998590350151062,0.0001307006166375,0.9958932426913412,0.0003891965551048
nii_6584_ew_std,720,29,-1327.2874755859375,0.9463571310043336,0.0001063025461377,0.8481646489356346,0.0003070198464946
halpha_ew_std,720,33,-1320.6165771484375,0.9885157346725464,0.0001074856517763,0.9650930148350502,0.0003471021803866
oiii_5007_ew_std,720,21,-1183.4324951171875,0.8181517720222473,0.0002867832014746,0.6117035850927173,0.0007440469749358
hbeta_ew_std,720,28,-1314.5841064453125,0.9834650754928588,0.0001156974439831,0.960751717330548,0.000291247074618
cov_nii_6584_ew_halpha_ew,720,28,-1525.958251953125,0.9807814359664916,2.734170362218829e-05,0.9272054424036462,0.0001196115320412
cov_nii_6584_ew_oiii_5007_ew,720,26,-1512.232666015625,0.9578161835670472,3.203167430591036e-05,0.8846251340346546,0.0001032637458572
cov_nii_6584_ew_hbeta_ew,720,25,-1550.2696533203125,0.9744577407836914,2.325075661399696e-05,0.9225724802209048,7.941095396091165e-05
cov_halpha_ew_oiii_5007_ew,720,29,-1406.06884765625,0.9626280069351196,5.88076791828062e-05,0.8656228452391082,0.0002446011999611
cov_halpha_ew_hbeta_ew,720,29,-1459.3782958984375,0.987951636314392,4.406577066644339e-05,0.9595119515043736,0.0001630887090123
cov_oiii_5007_ew_hbeta_ew,720,30,-1412.98876953125,0.9512722492218018,5.806386206977617e-05,0.8534440207951217,0.0001956819594775
nii_6584_ew_mean,830,27,-1306.8082275390625,0.9953967928886414,0.0001259924540859,0.9879912981137686,0.0003453162110588
halpha_ew_mean,830,37,-1268.6639404296875,0.9987003207206726,0.0001469811612302,0.9960866925504182,0.0004514167527392
oiii_5007_ew_mean,830,27,-1213.1820068359375,0.9978782534599304,0.0002351907105621,0.993387832548272,0.0007215290161222
hbeta_ew_mean,830,28,-1287.497802734375,0.9985052347183228,0.0001385947034082,0.9960550406385776,0.000373862996544
nii_6584_ew_std,830,16,-1328.675048828125,0.9392531514167786,0.0001203802284933,0.8437298560017916,0.0003159872538621
halpha_ew_std,830,32,-1315.455322265625,0.98850417137146,0.0001075935984581,0.9637751794293412,0.0003602062494017
oiii_5007_ew_std,830,24,-1173.2672119140625,0.8054009079933167,0.0003068918674612,0.6198463024846377,0.0007284440385949
hbeta_ew_std,830,35,-1312.6357421875,0.9843314290046692,0.0001096351879461,0.9606467778858366,0.0002920257916524
cov_nii_6584_ew_halpha_ew,830,36,-1528.2750244140625,0.9828805327415466,2.4355440206876996e-05,0.9236765266300744,0.0001254100290176
cov_nii_6584_ew_oiii_5007_ew,830,27,-1508.6798095703125,0.9582241773605348,3.172190492823814e-05,0.8810751283280075,0.0001064411006824
cov_nii_6584_ew_hbeta_ew,830,31,-1546.5406494140625,0.9746750593185424,2.3052935545863075e-05,0.9194782933938466,8.258440350922489e-05
cov_halpha_ew_oiii_5007_ew,830,39,-1410.3609619140625,0.9648754000663756,5.527128256869255e-05,0.8676122239543256,0.0002409800158262
cov_halpha_ew_hbeta_ew,830,31,-1456.4173583984375,0.9885056018829346,4.203971461146682e-05,0.9586402809984104,0.0001665998591612
cov_oiii_5007_ew_hbeta_ew,830,29,-1417.9886474609375,0.952869713306427,5.616032783029279e-05,0.8565676868164416,0.0001915112317384
nii_6584_ew_mean,550,29,-1302.025390625,0.9954038262367249,0.0001258012779075,0.9878994770209129,0.0003479565723719
halpha_ew_mean,550,40,-1270.817138671875,0.9987188577651978,0.0001448864564382,0.9963230322456248,0.0004241539579989
oiii_5007_ew_mean,550,25,-1213.7064208984375,0.9978856444358826,0.0002343699234661,0.9934299763732916,0.0007169302226366
hbeta_ew_mean,550,38,-1287.6517333984375,0.9986491203308104,0.000125250325215,0.9959784664113636,0.000381119920487
nii_6584_ew_std,550,31,-1332.6724853515625,0.9482487440109252,0.0001025539821345,0.850123403347839,0.0003030591319789
halpha_ew_std,550,37,-1317.4119873046875,0.988267719745636,0.0001098067624841,0.9639051069763832,0.000358914297815
oiii_5007_ew_std,550,24,-1178.2313232421875,0.8179205060005188,0.0002871478511619,0.6170825694834183,0.0007337398566868
hbeta_ew_std,550,30,-1320.072509765625,0.9840591549873352,0.0001115405865019,0.9588831078956463,0.0003051133381716
cov_nii_6584_ew_halpha_ew,550,31,-1526.731201171875,0.9815083742141724,2.630756455158927e-05,0.9296805157908268,0.000115544643945
cov_nii_6584_ew_oiii_5007_ew,550,27,-1506.1837158203125,0.9575231671333312,3.2254186662586544e-05,0.8826289809359786,0.0001050503589514
cov_nii_6584_ew_hbeta_ew,550,23,-1553.2802734375,0.9741148948669434,2.35628447200953e-05,0.9227434160959582,7.923563928025475e-05
cov_halpha_ew_oiii_5007_ew,550,36,-1407.1883544921875,0.9629058837890624,5.8370403980258966e-05,0.8727150078657423,0.0002316916284504
cov_halpha_ew_hbeta_ew,550,39,-1460.4505615234375,0.9898775219917296,3.702206047266208e-05,0.9562030520573253,0.0001764171888754
cov_oiii_5007_ew_hbeta_ew,550,32,-1414.130615234375,0.9532304406166076,5.57304715806832e-05,0.8553587433415264,0.000193125416498
nii_6584_ew_mean,570,28,-1306.7730712890625,0.9953957200050354,0.0001260219990719,0.9877813835570188,0.0003513524088152
halpha_ew_mean,570,35,-1269.80029296875,0.9987101554870604,0.0001458718818369,0.9962168040873642,0.0004364078304251
oiii_5007_ew_mean,570,29,-1213.479248046875,0.9978824853897096,0.0002347250041915,0.9933835950129616,0.0007219914219377
hbeta_ew_mean,570,29,-1288.1986083984375,0.9985122084617616,0.0001379487515399,0.9960106912924136,0.0003780659750623
