Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,100,24,-1301.0986328125,0.9953753352165222,0.00012658093462975485,0.988061418895357,0.00034329985301751316
halpha_ew_mean,100,35,-1270.8521728515625,0.9987612366676331,0.00014009382892638195,0.9963389440026517,0.0004223184687663997
oiii_5007_ew_mean,100,30,-1213.8350830078125,0.9978874921798706,0.0002341690509021164,0.993369125033673,0.0007235704064380396
hbeta_ew_mean,100,37,-1283.5009765625,0.9986112117767334,0.00012876459988021531,0.9960681652301268,0.0003726191816715528
nii_6584_ew_std,100,30,-1327.147705078125,0.9463070631027222,0.00010640168218616556,0.8425862091761197,0.00031829977377534243
halpha_ew_std,100,28,-1319.2386474609375,0.9884097576141357,0.0001084776789622733,0.9654061535023708,0.00034398844502169505
oiii_5007_ew_std,100,27,-1186.030517578125,0.8271458148956299,0.00027259908746677373,0.6056409367755472,0.0007556641183533809
hbeta_ew_std,100,37,-1313.2967529296875,0.9854084849357605,0.00010209912568288546,0.9590760511799539,0.0003036815770014442
cov_nii_6584_ew_halpha_ew,100,32,-1526.5916748046875,0.9814911484718323,2.633202209733224e-05,0.9301065004671987,0.00011484469217048545
cov_nii_6584_ew_oiii_5007_ew,100,28,-1504.5455322265625,0.9584675431251526,3.153710722784248e-05,0.8820935313039888,0.00010552960141259689
cov_nii_6584_ew_hbeta_ew,100,32,-1556.9305419921875,0.9747371673583984,2.299635860019706e-05,0.9186692920691444,8.34141287430117e-05
cov_halpha_ew_oiii_5007_ew,100,41,-1408.415283203125,0.9632081389427185,5.78948434432924e-05,0.8727411015316046,0.00023164413122526327
cov_halpha_ew_hbeta_ew,100,42,-1463.70849609375,0.9900950193405151,3.622663061495108e-05,0.952023105117356,0.00019325430934705453
cov_oiii_5007_ew_hbeta_ew,100,33,-1416.241455078125,0.9523175358772278,5.6818287493599284e-05,0.8579644037544312,0.0001896463313178166
