Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,600,27,0.9953118130792914,0.00012831894092153149,0.9879718760538295,0.00034587470207752446
halpha_ew_mean,600,47,0.9987141006632443,0.00014542465657441775,0.9961968924551713,0.00043870472236680347
oiii_5007_ew_mean,600,28,0.9978961257085676,0.0002332104380485137,0.9934474538686494,0.0007150230537511863
hbeta_ew_mean,600,42,0.9986065721622787,0.00012919674655454197,0.995817350785688,0.0003963888155723136
nii_6584_ew_std,600,16,0.9413048902454788,0.00011631438879127318,0.8464486753769642,0.0003104896441068482
halpha_ew_std,600,30,0.9883114032432999,0.00010939799408209008,0.9654031615781363,0.00034401819561231224
oiii_5007_ew_std,600,26,0.8135881379273007,0.0002939801892595147,0.6219511508947104,0.0007244107639313034
hbeta_ew_std,600,32,0.9841786270648408,0.00011070442558843075,0.9585336596392876,0.00030770646519456786
cov_nii_6584_ew_halpha_ew,600,33,0.9807748737265212,2.735106466264874e-05,0.9273228724012538,0.00011941857830420995
cov_nii_6584_ew_oiii_5007_ew,600,26,0.95542392998228,3.3848215704411064e-05,0.884762712839631,0.00010314060896231486
cov_nii_6584_ew_hbeta_ew,600,30,0.9747200898129423,2.301192481029542e-05,0.918677363770012,8.340585027215522e-05
cov_halpha_ew_oiii_5007_ew,600,37,0.9650481827948603,5.499935442825352e-05,0.873685586580711,0.0002299249239926951
cov_halpha_ew_hbeta_ew,600,30,0.9881865739618781,4.3206512647060245e-05,0.9583149652526541,0.00016791025388182275
cov_oiii_5007_ew_hbeta_ew,600,43,0.9539105630224302,5.4920058052073256e-05,0.8607607631011209,0.00018591262437980994
