Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,340,28,-1283.1055908203125,0.9961065649986268,0.0001380245261357,0.9929449594745184,0.0002622590927639
halpha_ew_mean,340,42,-1293.4000244140625,0.9991493225097656,0.0001205413355855,0.9983519196666945,0.0002375019797198
oiii_5007_ew_mean,340,29,-1186.218017578125,0.9977445006370544,0.0002722585370127,0.9951544687192058,0.0005742553417185
hbeta_ew_mean,340,37,-1305.23193359375,0.9990352392196656,0.000111398412461,0.9980798108877876,0.0002262181090319
nii_6584_ew_std,340,34,-1331.318603515625,0.8778116106987,0.0001000841881122,0.7407731752271347,0.0002697674066089
halpha_ew_std,340,34,-1339.556884765625,0.9640308022499084,9.473558051255616e-05,0.906914905452723,0.0002735141125136
oiii_5007_ew_std,340,26,-1194.8837890625,0.8732795715332031,0.0002569755754635,0.7664710231727343,0.0005903366628053
hbeta_ew_std,340,27,-1344.3653564453125,0.9553697109222412,9.48632342785278e-05,0.9091140525753276,0.0002116595214814
cov_nii_6584_ew_halpha_ew,340,27,-1551.408203125,0.9341740608215332,2.3858759562116807e-05,0.8560532444798883,6.39231927779162e-05
cov_nii_6584_ew_oiii_5007_ew,340,36,-1511.6773681640625,0.9510266184806824,2.720514070013707e-05,0.8558115512780783,8.985268728349053e-05
cov_nii_6584_ew_hbeta_ew,340,35,-1574.9403076171875,0.9107362031936646,1.907659033710821e-05,0.829879509803622,4.377465406262941e-05
cov_halpha_ew_oiii_5007_ew,340,26,-1499.14599609375,0.956905722618103,3.2693020531187e-05,0.8540058761824856,0.0001163733488733
cov_halpha_ew_hbeta_ew,340,19,-1529.666015625,0.9550662040710448,2.9485763262518387e-05,0.9047421249356176,6.949181847672397e-05
cov_oiii_5007_ew_hbeta_ew,340,30,-1502.539306640625,0.9494643211364746,3.196173583703623e-05,0.8197626413390786,0.0001218844319155
nii_6584_ew_mean,160,37,-1282.1302490234375,0.996334433555603,0.000129946668547,0.9929323637695008,0.0002627273166045
halpha_ew_mean,160,42,-1295.0738525390625,0.99915874004364,0.000119203785812,0.998358244332322,0.0002365905431974
oiii_5007_ew_mean,160,26,-1186.2069091796875,0.99774432182312,0.0002722788319228,0.995209415990144,0.0005677434110301
hbeta_ew_mean,160,37,-1310.4215087890625,0.999068021774292,0.0001076103129175,0.9980739132336136,0.0002269129136043
nii_6584_ew_std,160,20,-1333.578857421875,0.8669523596763611,0.000108979004531,0.7250664020621896,0.0002861128425668
halpha_ew_std,160,27,-1339.93017578125,0.9629014730453492,9.77100558858913e-05,0.9055065590108544,0.0002776522898344
oiii_5007_ew_std,160,29,-1195.8798828125,0.8741182684898376,0.0002552747456469,0.7712951204493921,0.0005781418528677
hbeta_ew_std,160,29,-1341.5477294921875,0.9529786705970764,9.994551670165296e-05,0.9096611314685517,0.0002103854581082
cov_nii_6584_ew_halpha_ew,160,36,-1547.5738525390625,0.936833918094635,2.2894700503005047e-05,0.8565074605647867,6.372148665225267e-05
cov_nii_6584_ew_oiii_5007_ew,160,40,-1519.14306640625,0.9534043669700624,2.588426162994093e-05,0.8437107068554662,9.73934674181604e-05
cov_nii_6584_ew_hbeta_ew,160,29,-1584.0809326171875,0.9131604433059692,1.855851376616458e-05,0.8390435183143579,4.141661181903263e-05
cov_halpha_ew_oiii_5007_ew,160,44,-1499.31005859375,0.9623369574546814,2.8572678507984346e-05,0.8313290554124144,0.0001344492652582
cov_halpha_ew_hbeta_ew,160,29,-1530.4561767578125,0.95819091796875,2.7435321176120138e-05,0.9062152783911952,6.841713449438497e-05
cov_oiii_5007_ew_hbeta_ew,160,29,-1504.4208984375,0.9500942826271056,3.156331461163487e-05,0.8152774114421446,0.0001249175417106
nii_6584_ew_mean,120,47,-1281.752197265625,0.9963251948356628,0.0001302746054849,0.9931605867961294,0.000254243515031
halpha_ew_mean,120,44,-1289.781005859375,0.999128520488739,0.0001234849830589,0.9984045303537692,0.0002299203454498
oiii_5007_ew_mean,120,22,-1188.2939453125,0.9976999163627625,0.0002776375173449,0.995137248837402,0.0005762961105293
hbeta_ew_mean,120,43,-1310.9501953125,0.9990713000297546,0.000107231699479,0.9980591567404404,0.0002286513809044
nii_6584_ew_std,120,28,-1334.7774658203125,0.8723474740982056,0.0001045598571889,0.7346459778952501,0.0002761437456913
halpha_ew_std,120,40,-1338.5716552734375,0.9661336541175842,8.91971096018979e-05,0.9085854996193126,0.0002686053665638
oiii_5007_ew_std,120,25,-1201.2568359375,0.8744253516197205,0.0002546520363782,0.761280537427061,0.000603457664212
hbeta_ew_std,120,31,-1341.06640625,0.954377293586731,9.697263328003223e-05,0.9107657081137562,0.0002078130674275
cov_nii_6584_ew_halpha_ew,120,26,-1555.3475341796875,0.9337022304534912,2.4029772038308862e-05,0.854952756138337,6.441189242350841e-05
cov_nii_6584_ew_oiii_5007_ew,120,33,-1505.0587158203125,0.9434223175048828,3.142938134223456e-05,0.8729735988402689,7.915796030349592e-05
cov_nii_6584_ew_hbeta_ew,120,34,-1582.519287109375,0.9122515320777892,1.8752752822262e-05,0.8256777217130127,4.485583963820929e-05
cov_halpha_ew_oiii_5007_ew,120,36,-1493.7789306640625,0.9568032026290894,3.2770809818422064e-05,-167750.2970557471,133.71620518523568
cov_halpha_ew_hbeta_ew,120,32,-1525.1494140625,0.9566853046417236,2.842332858591792e-05,0.904186864854164,6.98968876929087e-05
cov_oiii_5007_ew_hbeta_ew,120,36,-1493.03564453125,0.9496384263038636,3.1851638096547115e-05,0.8223800301468082,0.0001201144384452
nii_6584_ew_mean,520,35,-1283.5738525390625,0.9962462186813354,0.0001330739023145,0.9930122231174716,0.0002597586816162
halpha_ew_mean,520,37,-1286.7078857421875,0.999110460281372,0.0001260409610505,0.99840573113547,0.0002297473028952
oiii_5007_ew_mean,520,23,-1187.0537109375,0.9976808428764344,0.0002799427370639,0.995248916380159,0.000563062126636
hbeta_ew_mean,520,31,-1312.3056640625,0.9990484118461608,0.0001098767979973,0.9980840041683008,0.0002257240972795
nii_6584_ew_std,520,20,-1332.12158203125,0.8656535148620605,0.0001100428756862,0.7307802434037729,0.0002801666671977
halpha_ew_std,520,25,-1339.9881591796875,0.9616561532020568,0.0001009900687955,0.9096717347922806,0.0002654136563253
oiii_5007_ew_std,520,24,-1199.5079345703125,0.8771264553070068,0.0002491743982464,0.7617788289857561,0.0006021980356217
hbeta_ew_std,520,19,-1346.2550048828125,0.95288348197937,0.0001001477882083,0.9090269784366232,0.0002118623038812
cov_nii_6584_ew_halpha_ew,520,29,-1551.1378173828125,0.9362217783927916,2.3116558813577992e-05,0.8591742240422823,6.253724296958601e-05
cov_nii_6584_ew_oiii_5007_ew,520,41,-1521.9473876953125,0.95426744222641,2.5404824893650395e-05,0.842967862877637,9.785637917171588e-05
cov_nii_6584_ew_hbeta_ew,520,25,-1586.5689697265625,0.9116877317428588,1.8873253657013756e-05,0.8224195834690563,4.569420939809405e-05
cov_halpha_ew_oiii_5007_ew,520,21,-1489.820556640625,0.9509732127189636,3.719370234008793e-05,0.8694287164306347,0.0001040796515526
cov_halpha_ew_hbeta_ew,520,32,-1530.00439453125,0.9580647945404052,2.7518074050414556e-05,0.9080353350040145,6.708938029380142e-05
cov_oiii_5007_ew_hbeta_ew,520,30,-1494.7486572265625,0.9467703104019164,3.3665617805578414e-05,0.8195778644457155,0.0001220093861805
nii_6584_ew_mean,530,34,-1284.0479736328125,0.996258020401001,0.0001326539892561,0.9932140031656586,0.0002522578526438
halpha_ew_mean,530,39,-1284.264404296875,0.9991543292999268,0.0001198317602841,0.9983480991047952,0.0002380525542254
