Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,2000,32,0.9958711898998247,0.00014636826628711648,0.9925999360781695,0.00027508474877282254
halpha_ew_mean,2000,45,0.9990953251668043,0.00012818869247941517,0.9984221180664584,0.00022738581087769513
oiii_5007_ew_mean,2000,34,0.9977421307552762,0.0002725423259403989,0.9950952158683931,0.0005812775368339259
hbeta_ew_mean,2000,50,0.998988806987792,0.00011675651157393196,0.9979605340829221,0.00024027014852977428
nii_6584_ew_std,2000,23,0.8689821467267741,0.00010731637462448669,0.7243306006066873,0.0002868785628992911
halpha_ew_std,2000,24,0.9616049624335249,0.00010112482559036422,0.9087657572711811,0.00026807571128536714
oiii_5007_ew_std,2000,32,0.8688006603916043,0.00026605830018728107,0.777738566223519,0.0005618535004459017
hbeta_ew_std,2000,31,0.955356953404642,9.48903686125986e-05,0.9096743026951106,0.0002103547843287358
cov_nii_6584_ew_halpha_ew,2000,25,0.92746053124824,2.6292096050660747e-05,0.855290893047973,6.426173418769481e-05
cov_nii_6584_ew_oiii_5007_ew,2000,46,0.9485197397715712,2.859772469660575e-05,0.8473156600938827,9.514699941830186e-05
cov_nii_6584_ew_hbeta_ew,2000,26,0.902809102110293,2.077070608413538e-05,0.8335976063361601,4.2817929865000794e-05
cov_halpha_ew_oiii_5007_ew,2000,21,0.9497156907354918,3.8147695060253005e-05,0.8729958846294095,0.00010123622677337394
cov_halpha_ew_hbeta_ew,2000,46,0.9571472936504878,2.812015483511489e-05,0.8980123831098061,7.440124981810585e-05
cov_oiii_5007_ew_hbeta_ew,2000,37,0.9459578560086251,3.417944136152736e-05,0.8091935233639032,0.00012903173450492343
