Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,600,31,-1284.0482177734375,0.9962580800056458,0.00013265383344675206,0.9932132380935574,0.0002522862928936585
halpha_ew_mean,600,42,-1285.06298828125,0.9991006851196289,0.00012743077076430746,0.9984456134553874,0.00022399993139588816
oiii_5007_ew_mean,600,26,-1191.5595703125,0.9977494478225708,0.00027165862928857224,0.9951413462768149,0.0005758105133195127
hbeta_ew_mean,600,34,-1303.428466796875,0.9989560842514038,0.00012053568242498753,0.9979894658115042,0.00023686169209742388
nii_6584_ew_std,600,22,-1333.474609375,0.8712338209152222,0.00010547204394453937,0.7275277429638005,0.0002835514195645155
halpha_ew_std,600,26,-1339.5548095703125,0.9628085494041443,9.795488964503157e-05,0.9069564928759156,0.00027339191521447473
oiii_5007_ew_std,600,29,-1190.7005615234375,0.8739767074584961,0.0002555618239348508,0.7705513996974251,0.0005800219006148417
hbeta_ew_std,600,20,-1345.7794189453125,0.9527338147163391,0.00010046592717138823,0.9086094863414196,0.00021283457934957395
cov_nii_6584_ew_halpha_ew,600,32,-1551.6141357421875,0.9385126233100891,2.228623962790666e-05,0.8515945259344601,6.590319937196583e-05
cov_nii_6584_ew_oiii_5007_ew,600,44,-1507.293212890625,0.9495741128921509,2.8012009354516353e-05,0.844903658058355,9.665006617951924e-05
cov_nii_6584_ew_hbeta_ew,600,27,-1587.0579833984375,0.911975085735321,1.881184380305067e-05,0.8361604174992987,4.215847860216506e-05
cov_halpha_ew_oiii_5007_ew,600,28,-1498.1656494140625,0.95514976978302,3.402517905990841e-05,0.849854447838885,0.00011968249314790229
cov_halpha_ew_hbeta_ew,600,29,-1532.2412109375,0.9600427746772766,2.62201212664902e-05,0.9059281539910006,6.862659535717528e-05
cov_oiii_5007_ew_hbeta_ew,600,31,-1502.21533203125,0.9493550658226013,3.203083448319997e-05,0.8176059008305248,0.00012334291473860856
