Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,810,23,-1273.8616943359375,0.9903889298439026,0.0001569403393147,0.9692486656552496,0.0005121127269003
halpha_ew_mean,810,25,-1206.211181640625,0.9966063499450684,0.0002382844519304,0.9891241569992952,0.0007648878452949
oiii_5007_ew_mean,810,30,-1155.215576171875,0.9963528513908386,0.000334767082366,0.9895428973728146,0.0009327861365451
hbeta_ew_mean,810,24,-1237.537109375,0.9967817068099976,0.0001933739590736,0.9895647700357704,0.0006315923932965
nii_6584_ew_std,810,17,-1296.7957763671875,0.9626454710960388,0.0001392645331483,0.9263379117751952,0.0003095006995522
halpha_ew_std,810,20,-1252.8795166015625,0.9671924114227296,0.0001866342795199,0.9381457888339968,0.0003825631231863
oiii_5007_ew_std,810,28,-1216.8095703125,0.9332598447799684,0.0002147349793258,0.857458194240087,0.0005514043960894
hbeta_ew_std,810,17,-1279.989013671875,0.9563384056091307,0.0001557762107549,0.9149813388969312,0.0003274351084451
cov_nii_6584_ew_halpha_ew,810,28,-1401.3756103515625,0.9713165163993835,6.273781866927955e-05,0.9387224167798576,0.0001517921998388
cov_nii_6584_ew_oiii_5007_ew,810,31,-1447.2037353515625,0.9064947962760924,4.779149342040607e-05,0.7876869403929088,0.0001091311254338
cov_nii_6584_ew_hbeta_ew,810,25,-1453.9285888671875,0.963562309741974,4.885337258249704e-05,0.9293911486475352,0.0001036795330346
cov_halpha_ew_oiii_5007_ew,810,27,-1371.187255859375,0.9451448917388916,8.202528770330282e-05,0.9070006758551044,0.000151753346348
cov_halpha_ew_hbeta_ew,810,16,-1370.3585205078125,0.9631099104881288,8.817836606514618e-05,0.9303891723850396,0.0001819998641559
cov_oiii_5007_ew_hbeta_ew,810,28,-1391.814697265625,0.9490245580673218,6.913821429586122e-05,0.9133470241622834,0.0001264525713356
nii_6584_ew_mean,750,37,-1271.4412841796875,0.9917349815368652,0.0001349602262489,0.9695938417503062,0.0005063643886552
halpha_ew_mean,750,29,-1203.7425537109375,0.9965500235557556,0.0002422385541064,0.987422174177476,0.0008845867020388
oiii_5007_ew_mean,750,37,-1153.6334228515625,0.9966655969619752,0.0003060564846294,0.9893335315328508,0.0009514618213831
hbeta_ew_mean,750,22,-1239.6385498046875,0.99671870470047,0.0001971607113442,0.9896597746049686,0.0006258422408379
nii_6584_ew_std,750,20,-1294.1456298828125,0.9619796872138976,0.0001417468491011,0.9241857633864216,0.0003185432266909
halpha_ew_std,750,27,-1253.141357421875,0.9683255553245544,0.000180188130179,0.9380422886880704,0.0003832032629331
oiii_5007_ew_std,750,28,-1219.0601806640625,0.9320204257965088,0.0002187227385803,0.8563174464599727,0.000555817230187
hbeta_ew_std,750,18,-1280.727783203125,0.9565529227256776,0.0001550109227395,0.9151204697187636,0.0003268992694288
cov_nii_6584_ew_halpha_ew,750,28,-1405.0355224609375,0.970073938369751,6.545566346238483e-05,0.9376606901398192,0.0001544222288616
cov_nii_6584_ew_oiii_5007_ew,750,29,-1442.276611328125,0.9065468907356262,4.776487639285546e-05,0.7842738532294761,0.0001108854878081
cov_nii_6584_ew_hbeta_ew,750,20,-1452.897216796875,0.9633108973503112,4.919044506873364e-05,0.9305329582254916,0.000102002940347
cov_halpha_ew_oiii_5007_ew,750,25,-1364.668212890625,0.9445905089378356,8.285432897927873e-05,0.9084897708562532,0.0001493234883728
cov_halpha_ew_hbeta_ew,750,16,-1370.3582763671875,0.963109850883484,8.817850022739567e-05,0.9303896167195446,0.0001819987024283
cov_oiii_5007_ew_hbeta_ew,750,30,-1388.933837890625,0.9497432112693788,6.816353257874904e-05,0.913418152874262,0.0001263487733017
nii_6584_ew_mean,400,42,-1277.7718505859375,0.9918074011802672,0.0001337779349238,0.9702093730070104,0.0004961137313397
halpha_ew_mean,400,20,-1205.243896484375,0.9963483810424804,0.0002563955197978,0.9896703252713652,0.0007264763425944
oiii_5007_ew_mean,400,31,-1156.888427734375,0.9967371821403505,0.0002994867383678,0.989245838057212,0.0009592841849247
hbeta_ew_mean,400,21,-1242.1083984375,0.996772289276123,0.0001939410884392,0.9407484627997132,0.0035861998552121
nii_6584_ew_std,400,17,-1296.79638671875,0.9626456499099731,0.0001392640143663,0.9263432674656632,0.0003094781969327
halpha_ew_std,400,26,-1253.18408203125,0.9683346152305604,0.0001801366517213,0.9379658169691292,0.0003836762341195
oiii_5007_ew_std,400,26,-1214.6236572265625,0.9299798011779784,0.0002252883427698,0.8573862682580918,0.0005516826323756
hbeta_ew_std,400,20,-1281.3900146484375,0.9567443132400512,0.0001543281158121,0.9139077938218158,0.000331569687178
cov_nii_6584_ew_halpha_ew,400,26,-1402.2076416015625,0.9705062508583068,6.451003696542321e-05,0.939177244122204,0.000150665535907
