Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,400,36,-1277.052001953125,0.991767942905426,0.00013442153306093973,0.9702195299785771,0.0004959445837396128
halpha_ew_mean,400,23,-1207.566650390625,0.9965226054191589,0.00024416213131092646,0.9576765684285881,0.0029765672764904406
oiii_5007_ew_mean,400,31,-1159.025146484375,0.9966740608215332,0.00030527987561040074,0.9894055853300601,0.000945034535975487
hbeta_ew_mean,400,23,-1237.58251953125,0.9967827200889587,0.00019331519306530257,0.9895353849456888,0.0006333709261544679
nii_6584_ew_std,400,21,-1301.8167724609375,0.9626480937004089,0.00013925495161326034,0.9259162018565725,0.00031127256779504446
halpha_ew_std,400,21,-1250.2982177734375,0.9677194952964783,0.00018363592224123916,0.9384288515077299,0.00038081240422190233
oiii_5007_ew_std,400,28,-1217.146484375,0.9334095120429993,0.00021425331809781813,0.860385656111995,0.0005400798914155786
hbeta_ew_std,400,18,-1279.9322509765625,0.9563218951225281,0.0001558352242716969,0.9119776166398147,0.00033900344074116117
cov_nii_6584_ew_halpha_ew,400,27,-1404.3538818359375,0.9699376225471497,6.575381192673933e-05,0.9396768210347305,0.00014942802172065068
cov_nii_6584_ew_oiii_5007_ew,400,29,-1447.285400390625,0.9065456986427307,4.77654699956689e-05,0.7842358092730184,0.00011090504279824618
cov_nii_6584_ew_hbeta_ew,400,21,-1453.9730224609375,0.9635730385780334,4.8838947831642656e-05,0.9282815231611201,0.00010530886774372564
cov_halpha_ew_oiii_5007_ew,400,25,-1364.6683349609375,0.9445905089378357,8.285427697263507e-05,0.9084960306319356,0.00014931327386955313
cov_halpha_ew_hbeta_ew,400,16,-1370.3582763671875,0.9631098508834839,8.817852558251084e-05,0.9303896475766606,0.00018199862175134586
cov_oiii_5007_ew_hbeta_ew,400,25,-1392.30810546875,0.9491919875144958,6.891114987873994e-05,0.9178112112708223,0.00011993798907994769
