Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,4500,28,0.9894475058279674,0.00017231257238822743,0.968593969869447,0.0005230156048177312
halpha_ew_mean,4500,22,0.9962232562151803,0.0002651823462104155,0.9898535371114701,0.0007135912255877456
oiii_5007_ew_mean,4500,30,0.9959266695267124,0.0003738838563575166,0.9898838537062558,0.000902372421356515
hbeta_ew_mean,4500,33,0.9965912118419876,0.0002048207290015564,0.98995460028565,0.0006079979136976066
nii_6584_ew_std,4500,23,0.9614807364458827,0.00014360697295681975,0.9221299886367267,0.0003271808276399198
halpha_ew_std,4500,27,0.9689936677320967,0.00017638732157368965,0.9374105235111021,0.0003871106777181489
oiii_5007_ew_std,4500,32,0.9189701622027513,0.000260711649326332,0.8504428483405215,0.0005785423472925408
hbeta_ew_std,4500,27,0.9559510888481378,0.00015715807804139576,0.915498400698893,0.00032544373166977465
cov_nii_6584_ew_halpha_ew,4500,21,0.9671636629876319,7.182111032461745e-05,0.9356924754871455,0.00015929774150730006
cov_nii_6584_ew_oiii_5007_ew,4500,44,0.9050450574852837,4.8532463004365346e-05,0.7867425576977898,0.00010961654798176626
cov_nii_6584_ew_hbeta_ew,4500,27,0.9636029209885268,4.879891043315366e-05,0.928995759502508,0.00010426010843192449
cov_halpha_ew_oiii_5007_ew,4500,30,0.94382140241931,8.400435864093136e-05,0.9085155127878214,0.00014928148350573133
cov_halpha_ew_hbeta_ew,4500,19,0.963207623232566,8.794478538553671e-05,0.9297487613448633,0.00018367424048944923
cov_oiii_5007_ew_hbeta_ew,4500,23,0.9406764319255965,8.046085046903741e-05,0.9122450902355452,0.00012806062203596456
