Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,300,45,-1285.17822265625,0.9956485033035278,0.000119104046072,0.986978124079096,0.0003744505356603
halpha_ew_mean,300,43,-1265.376220703125,0.9987981915473938,0.0001359124044955,0.9962696002202696,0.000430317570669
oiii_5007_ew_mean,300,43,-1201.2666015625,0.9979901313781738,0.0002227869010299,0.9933682214844748,0.0007236690029979
hbeta_ew_mean,300,40,-1283.3697509765625,0.9986998438835144,0.0001205485807135,0.9960246855194836,0.0003767397450083
nii_6584_ew_std,300,45,-1310.693603515625,0.950964331626892,9.717261334515778e-05,0.8457921719281457,0.0003118171319854
halpha_ew_std,300,43,-1305.9215087890625,0.9892820119857788,0.000100313865287,0.9635805397745282,0.0003621416743104
oiii_5007_ew_std,300,41,-1174.7674560546875,0.8369725942611694,0.0002571019247109,0.6155189298856019,0.0007367360762448
hbeta_ew_std,300,43,-1302.643798828125,0.9853469133377076,0.0001025299551679,0.9593946928603364,0.0003013170542516
cov_nii_6584_ew_halpha_ew,300,43,-1524.0301513671875,0.9835272431373596,2.343537459349568e-05,0.9078660921441648,0.0001513887608561
cov_nii_6584_ew_oiii_5007_ew,300,45,-1492.234619140625,0.96055406332016,2.995272465710342e-05,0.8812277782512316,0.0001063044747133
cov_nii_6584_ew_hbeta_ew,300,45,-1539.0015869140625,0.9750906825065612,2.267460368044548e-05,0.91944381881044,8.261976121619417e-05
cov_halpha_ew_oiii_5007_ew,300,37,-1402.355712890625,0.9641671180725098,5.638582428155826e-05,0.8758482455732948,0.000225988324906
cov_halpha_ew_hbeta_ew,300,47,-1444.9044189453125,0.9891409873962402,3.971587032106004e-05,0.9584865338841628,0.0001672191633585
cov_oiii_5007_ew_hbeta_ew,300,43,-1402.2020263671875,0.9556931853294371,5.279590818290822e-05,0.8581131301909619,0.0001894477513575
nii_6584_ew_mean,1000,45,-1284.380126953125,0.9956252574920654,0.0001197394638706,0.9880419984391868,0.0003438582979189
halpha_ew_mean,1000,47,-1263.295654296875,0.998781442642212,0.0001378105726024,0.9962809462740588,0.0004290087548338
oiii_5007_ew_mean,1000,43,-1188.4027099609375,0.9979516863822936,0.0002270493385456,0.9932705964395088,0.0007343219852699
hbeta_ew_mean,1000,42,-1285.78369140625,0.998677134513855,0.0001226535739187,0.9959195467316542,0.0003867037265528
nii_6584_ew_std,1000,40,-1312.8349609375,0.9500172138214112,9.904937083125608e-05,0.8500871549611628,0.0003031324283097
halpha_ew_std,1000,45,-1299.5517578125,0.988817036151886,0.0001046654484946,0.9646916098995224,0.0003510936029537
oiii_5007_ew_std,1000,42,-1164.9298095703125,0.8316410183906555,0.0002655099445814,0.6250012896660364,0.0007185661399821
hbeta_ew_std,1000,45,-1300.629638671875,0.985148787498474,0.000103916036427,0.9596495934129984,0.0002994255309738
cov_nii_6584_ew_halpha_ew,1000,43,-1519.538330078125,0.9830265045166016,2.414775550663578e-05,0.9240716228368072,0.0001247608312732
cov_nii_6584_ew_oiii_5007_ew,1000,41,-1494.8756103515625,0.9612424969673156,2.942998872066804e-05,0.8852299304365566,0.0001027224360891
cov_nii_6584_ew_hbeta_ew,1000,43,-1535.691162109375,0.9753714203834534,2.241901450659969e-05,0.91958163236345,8.24784173407286e-05
cov_halpha_ew_oiii_5007_ew,1000,41,-1397.0833740234375,0.9652838110923768,5.46286107321796e-05,0.8758766572263901,0.0002259366083442
cov_halpha_ew_hbeta_ew,1000,41,-1449.0697021484375,0.9887086749076844,4.129703478827376e-05,0.9575099979122084,0.0001711527189851
cov_oiii_5007_ew_hbeta_ew,1000,38,-1411.2099609375,0.9568582773208618,5.140755041903411e-05,0.8590366419019495,0.0001882146758993
nii_6584_ew_mean,200,40,-1285.6529541015625,0.9956622123718262,0.00011872759012,0.986085989890648,0.0004001042991253
halpha_ew_mean,200,47,-1260.6298828125,0.9988003373146056,0.0001356730084734,0.9962283567939436,0.0004350751763066
oiii_5007_ew_mean,200,45,-1195.4600830078125,0.9980458617210388,0.0002166140622497,0.993208643677458,0.0007410823578369
hbeta_ew_mean,200,47,-1281.6761474609375,0.99868506193161,0.0001219173367317,0.9960314918714996,0.0003760947084117
nii_6584_ew_std,200,45,-1317.944091796875,0.9516910314559937,9.573244065687125e-05,0.8388800245369469,0.0003257938931027
halpha_ew_std,200,45,-1305.8648681640625,0.989277958869934,0.0001003517768202,0.9630111777568242,0.0003678032001294
oiii_5007_ew_std,200,40,-1158.832275390625,0.8246561884880066,0.000276525352693,0.6239190498756837,0.0007206399094305
hbeta_ew_std,200,43,-1307.4986572265625,0.985813558101654,9.926464897393972e-05,0.9585166573238452,0.0003078326331259
