Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,100,61,0.9964710474014282,9.659045681402437e-05,0.9862429413507114,0.000395591081625046
halpha_ew_mean,100,94,0.9988704323768616,0.00012774497667616968,0.9964694606114965,0.00040726281967611965
oiii_5007_ew_mean,100,82,0.9982286691665649,0.00019634648691016284,0.9931236501043832,0.0007503569761228256
hbeta_ew_mean,100,62,0.9987865686416626,0.0001125104299439521,0.9961496266828735,0.00036489909635849076
nii_6584_ew_std,100,80,0.9552624821662903,8.865501972098674e-05,0.8325962264052463,0.0003385000957378969
halpha_ew_std,100,71,0.9906206130981445,8.778522854618373e-05,0.9577421975303331,0.00042019599533607425
oiii_5007_ew_std,100,79,0.8447973132133484,0.00024476187386929623,0.6272494601811953,0.0007142582339425191
hbeta_ew_std,100,78,0.9860196113586426,9.782260900290624e-05,0.9575040396622618,0.0003153468964664938
cov_nii_6584_ew_halpha_ew,100,78,0.9848214983940125,2.1594020070980617e-05,0.9285101020982164,0.00011746779561347718
cov_nii_6584_ew_oiii_5007_ew,100,66,0.9630762934684753,2.803748874744713e-05,0.8841049626499142,0.00010372931385796252
cov_nii_6584_ew_hbeta_ew,100,84,0.9800499677658081,1.8160197919764588e-05,0.9123046463820668,8.994181537272726e-05
cov_halpha_ew_oiii_5007_ew,100,79,0.9676910042762756,5.084067414120334e-05,0.8746332814205311,0.00022819987411029882
cov_halpha_ew_hbeta_ew,100,83,0.9916800260543823,3.042963287188343e-05,0.9385897359964119,0.00024736486564758803
cov_oiii_5007_ew_hbeta_ew,100,72,0.9615328311920166,4.583736813653381e-05,0.8592070178486535,0.00018798718945167738
