Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,500,43,-1277.393310546875,0.9964612722396852,0.0001254485703336,0.9927310641939252,0.0002702102848275
halpha_ew_mean,500,47,-1285.240966796875,0.9991874098777772,0.0001151428336114,0.9983601991739636,0.000236308834381
oiii_5007_ew_mean,500,43,-1173.888916015625,0.9979279041290284,0.000250115971615,0.9952143245267144,0.0005671616887829
hbeta_ew_mean,500,47,-1296.1851806640625,0.9990729689598083,0.0001070411524508,0.998023952852868,0.0002327987624443
nii_6584_ew_std,500,41,-1311.22607421875,0.881786584854126,9.682833967939614e-05,0.7407529850743817,0.0002697884177259
halpha_ew_std,500,42,-1329.269287109375,0.966295599937439,8.877068609683221e-05,0.9045910440736924,0.0002803423688073
oiii_5007_ew_std,500,47,-1180.0731201171875,0.8816436529159546,0.0002400140109025,0.7679990113703064,0.0005864740695391
hbeta_ew_std,500,41,-1334.994140625,0.958434522151947,8.834894627555867e-05,0.9067845053485358,0.0002170846819739
cov_nii_6584_ew_halpha_ew,500,45,-1538.6314697265625,0.9413395524024964,2.1261619996124355e-05,0.857183338302002,6.34213460708675e-05
cov_nii_6584_ew_oiii_5007_ew,500,42,-1516.506103515625,0.9541358947753906,2.5477893252196284e-05,0.8422314172936476,9.831530369268864e-05
cov_nii_6584_ew_hbeta_ew,500,43,-1575.368896484375,0.9221237301826476,1.6642966299372265e-05,0.8284632875632763,4.4139070121949336e-05
cov_halpha_ew_oiii_5007_ew,500,46,-1482.228759765625,0.9577943086624146,3.2018914676441065e-05,0.8732511036680745,0.0001010327891729
cov_halpha_ew_hbeta_ew,500,47,-1519.9805908203125,0.9607742428779602,2.574014259480172e-05,0.9066347688590516,6.811111091969057e-05
cov_oiii_5007_ew_hbeta_ew,500,45,-1472.072509765625,0.947607159614563,3.31363157952952e-05,0.8283995165653277,0.0001160437968868
nii_6584_ew_mean,1000,45,-1274.3160400390625,0.9965066313743592,0.000123841954989,0.9930103098349956,0.0002598298046274
halpha_ew_mean,1000,45,-1284.3721923828125,0.9991549253463744,0.0001197456520912,0.998406800129204,0.0002295932520743
oiii_5007_ew_mean,1000,33,-1179.6768798828125,0.9978685975074768,0.0002572753392424,0.9951752873180588,0.0005717880804616
hbeta_ew_mean,1000,37,-1300.9432373046875,0.9990713596343994,0.0001072213537169,0.9980079533735604,0.0002346836663486
nii_6584_ew_std,1000,42,-1316.4228515625,0.8819330930709839,9.670832675363576e-05,0.7416705881280512,0.0002688335034484
halpha_ew_std,1000,47,-1323.4383544921875,0.9661107659339904,8.925737449757205e-05,0.909100123221664,0.0002670932359852
oiii_5007_ew_std,1000,43,-1175.2950439453125,0.8818270564079285,0.000239642167989,0.7511822613724684,0.000628985042729
hbeta_ew_std,1000,45,-1329.73486328125,0.9597333669662476,8.558821608592744e-05,0.9141067640245292,0.0002000322573534
cov_nii_6584_ew_halpha_ew,1000,41,-1538.9344482421875,0.939469277858734,2.1939495207067387e-05,0.8545588384869393,6.458682150668182e-05
cov_nii_6584_ew_oiii_5007_ew,1000,39,-1505.9337158203125,0.9507866501808168,2.7338427320467244e-05,0.8479069772278757,9.477851335719924e-05
cov_nii_6584_ew_hbeta_ew,1000,45,-1572.859375,0.9181199073791504,1.7498622486445833e-05,0.8287581955184524,4.4063185707889335e-05
cov_halpha_ew_oiii_5007_ew,1000,41,-1491.7991943359375,0.9590580463409424,3.106019309310735e-05,0.849530238020485,0.0001199409239759
cov_halpha_ew_hbeta_ew,1000,37,-1513.330078125,0.9603430032730104,2.602309076490008e-05,0.9105505887752002,6.52544710186154e-05
