Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,3000,57,0.9961015582084656,0.0001382011841026176,0.9928510041717625,0.0002657517208178676
halpha_ew_mean,3000,68,0.9989223480224609,0.00015269955360977408,0.9982701923069977,0.00024927956685136086
oiii_5007_ew_mean,3000,67,0.9978058338165283,0.0002648517912707245,0.995184999064869,0.0005706371184390998
hbeta_ew_mean,3000,53,0.9988774061203003,0.00012961674922293214,0.9979062601683165,0.0002466641762084821
nii_6584_ew_std,3000,59,0.8765068650245667,0.00010115294462096786,0.737192947953635,0.00027349321171223664
halpha_ew_std,3000,62,0.9638632535934448,9.517697690306193e-05,0.9065966566735693,0.0002744492303519163
oiii_5007_ew_std,3000,49,0.8764923214912415,0.0002504603692338832,0.7609975763524388,0.0006041729600128504
hbeta_ew_std,3000,77,0.9567248225212097,9.198291877743353e-05,0.9143803541567108,0.00019939510762783706
cov_nii_6584_ew_halpha_ew,3000,67,0.9347055554389954,2.3666126287441323e-05,0.8582104013738201,6.296525277096863e-05
cov_nii_6584_ew_oiii_5007_ew,3000,44,0.9494711756706238,2.8069202204859066e-05,0.8468522043410441,9.543580719173069e-05
cov_nii_6584_ew_hbeta_ew,3000,73,0.9197760224342346,1.7144696849468785e-05,0.8262057700519077,4.471996456909334e-05
cov_halpha_ew_oiii_5007_ew,3000,67,0.9541671276092529,3.477064720765308e-05,0.867568453685829,0.0001055624852430138
cov_halpha_ew_hbeta_ew,3000,62,0.960368275642395,2.6006540055502297e-05,0.907760243473587,6.729006302668859e-05
cov_oiii_5007_ew_hbeta_ew,3000,47,0.9413017630577087,3.712422989845969e-05,0.8486389007007671,0.00010235703485264822
