Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,800,41,-1273.1260986328125,0.996478796005249,0.0001248283478205059,0.9928708297414918,0.0002650147390936753
halpha_ew_mean,800,41,-1279.4722900390625,0.9991555213928223,0.00011965727721840472,0.9983880998556616,0.00023228811584883444
oiii_5007_ew_mean,800,45,-1167.606201171875,0.9979102611541748,0.00025224612464996263,0.9952794910771995,0.0005594386471702071
hbeta_ew_mean,800,45,-1296.916015625,0.9990461468696594,0.00011013914654960489,0.9980808187262976,0.0002260993752465885
nii_6584_ew_std,800,37,-1314.83203125,0.8806742429733276,9.773945459817836e-05,0.7300762420269866,0.0002808992944087817
halpha_ew_std,800,43,-1317.8916015625,0.9648341536521912,9.261979405895746e-05,0.9086801318449844,0.0002683273064797289
oiii_5007_ew_std,800,39,-1183.4383544921875,0.8842693567276001,0.0002346894120080526,0.7032698728373892,0.0007501025157685818
hbeta_ew_std,800,42,-1329.9287109375,0.9584193229675293,8.83812449622501e-05,0.91345470764689,0.00020155079729033436
cov_nii_6584_ew_halpha_ew,800,45,-1544.158935546875,0.941541314125061,2.1188479612020178e-05,0.8561467139894584,6.388168528122046e-05
cov_nii_6584_ew_oiii_5007_ew,800,43,-1508.0302734375,0.9530640840530396,2.6073309424131248e-05,0.8482996424733705,9.453381950118452e-05
cov_nii_6584_ew_hbeta_ew,800,45,-1578.6947021484375,0.9212440848350525,1.683095304444998e-05,0.8318928273270753,4.325659607910457e-05
cov_halpha_ew_oiii_5007_ew,800,39,-1486.083740234375,0.958865225315094,3.12064817078888e-05,0.8533426910493274,0.00011690198025142959
cov_halpha_ew_hbeta_ew,800,43,-1522.088134765625,0.9613215327262878,2.5380996535373987e-05,0.9068307620616933,6.796813141220682e-05
cov_oiii_5007_ew_hbeta_ew,800,41,-1490.7933349609375,0.9537544846534729,2.924840528702858e-05,0.8243099187334045,0.00011880936287280677
