Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,900,44,-1270.0628662109375,0.9919326901435852,0.0001317314796062,0.970136814345794,0.0004973220761042
halpha_ew_mean,900,41,-1188.739990234375,0.996773600578308,0.000226539246636,0.9894775916518253,0.0007400311174248
oiii_5007_ew_mean,900,42,-1143.7293701171875,0.9966682195663452,0.0003058175010523,0.9896024796830636,0.0009274713227802
hbeta_ew_mean,900,38,-1225.6885986328125,0.9970529079437256,0.0001770785560445,0.989506339024838,0.0006351289307915
nii_6584_ew_std,900,43,-1271.7386474609375,0.9650586247444152,0.0001302679169874,0.9259244006790212,0.0003112381193922
halpha_ew_std,900,45,-1228.657958984375,0.9704848527908324,0.0001679042669703,0.9358303663461351,0.0003968838176347
oiii_5007_ew_std,900,45,-1199.1669921875,0.9364769458770752,0.0002043839839119,0.8543714997669619,0.0005633448713261
hbeta_ew_std,900,45,-1250.655517578125,0.9593583941459656,0.0001450013801113,0.9124772073192644,0.0003370793510627
cov_nii_6584_ew_halpha_ew,900,43,-1384.5694580078125,0.9728509783744812,5.938155331792027e-05,0.9354211472322116,0.0001599698553624
cov_nii_6584_ew_oiii_5007_ew,900,44,-1430.7470703125,0.9117028713226318,4.512957796183132e-05,0.7719694339429319,0.000117210087562
cov_nii_6584_ew_hbeta_ew,900,40,-1437.6737060546875,0.9678587317466736,4.309295875591484e-05,0.9282616354537386,0.0001053380701478
cov_halpha_ew_oiii_5007_ew,900,39,-1345.0211181640625,0.9483078122138976,7.729581500375083e-05,0.9050513694490144,0.0001549341626915
cov_halpha_ew_hbeta_ew,900,45,-1341.4549560546875,0.9668846726417542,7.915548643399975e-05,0.9282797227483476,0.0001875150916065
cov_oiii_5007_ew_hbeta_ew,900,43,-1383.7396240234375,0.9559752345085144,5.971099238511404e-05,0.9096103910528254,0.000131905435017
nii_6584_ew_mean,800,39,-1252.0572509765625,0.9912026524543762,0.0001436526713938,0.96944306567093,0.0005088753154428
halpha_ew_mean,800,40,-1194.443603515625,0.996788501739502,0.0002254952577533,0.9892475396932476,0.0007562104560647
oiii_5007_ew_mean,800,45,-1136.138916015625,0.9966104030609132,0.0003111225632037,0.9893167685367028,0.0009529571008091
hbeta_ew_mean,800,45,-1221.2579345703125,0.9970642924308776,0.0001763952500869,0.9896387083928888,0.0006271172735254
nii_6584_ew_std,800,45,-1271.18310546875,0.9660811424255372,0.0001264558251945,0.9271616730004356,0.0003060395612432
halpha_ew_std,800,43,-1237.865234375,0.9703242778778076,0.0001688178310039,0.9380928054125032,0.0003828908212173
oiii_5007_ew_std,800,44,-1203.6962890625,0.9362727403640748,0.0002050410354635,0.8532996315834139,0.0005674912536824
hbeta_ew_std,800,45,-1250.1383056640625,0.9592180252075196,0.0001455023280917,0.9132044696913154,0.0003342784220599
cov_nii_6584_ew_halpha_ew,800,44,-1387.1568603515625,0.9724088311195374,6.034864480654265e-05,0.9371392197136376,0.000155713976006
cov_nii_6584_ew_oiii_5007_ew,800,42,-1430.4229736328125,0.9115119576454164,4.522717478275962e-05,0.7749144483592335,0.0001156963194581
cov_nii_6584_ew_hbeta_ew,800,35,-1442.558837890625,0.96783185005188,4.312902876627641e-05,0.9275904103940884,0.000106323673219
cov_halpha_ew_oiii_5007_ew,800,47,-1344.37451171875,0.9480844736099244,7.762971049614725e-05,0.9044860318506392,0.0001558566626469
cov_halpha_ew_hbeta_ew,800,43,-1346.5760498046875,0.9679961800575256,7.649865750115052e-05,0.9271485639351992,0.0001904725445974
cov_oiii_5007_ew_hbeta_ew,800,39,-1366.3441162109375,0.9505618810653688,6.705316708259016e-05,0.9116284709913988,0.0001289604536713
nii_6584_ew_mean,200,45,-1265.792724609375,0.9914178252220154,0.0001401393201049,0.969615594162642,0.0005060021381242
halpha_ew_mean,200,49,-1190.79150390625,0.9969220161437988,0.0002161207847528,0.9889187548200832,0.000779333588054
