Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,3000,51,0.9905784726142883,0.0001538453888678864,0.9671745395942206,0.0005466538736727295
halpha_ew_mean,3000,63,0.9965111017227173,0.0002449701465253034,0.9895607865469628,0.0007341800984208977
oiii_5007_ew_mean,3000,48,0.9966343641281128,0.00030892478352375567,0.9892622088720724,0.0009578238885414728
hbeta_ew_mean,3000,54,0.9968001246452332,0.00019226904520287336,0.9894621298250597,0.0006378046930305255
nii_6584_ew_std,3000,57,0.9652464985847473,0.00012956742110796003,0.9219250590461033,0.0003280418655657434
halpha_ew_std,3000,64,0.9695144891738892,0.00017342469273707003,0.9381974586395652,0.00038224354976008716
oiii_5007_ew_std,3000,65,0.9359695315361023,0.00020601644561600585,0.8539195858422943,0.0005650930414393812
hbeta_ew_std,3000,48,0.9590195417404175,0.00014621036009602575,0.9130465191710897,0.00033488674198697756
cov_nii_6584_ew_halpha_ew,3000,39,0.9714106321334839,6.253200440731622e-05,0.9377108741783191,0.00015429791675271824
cov_nii_6584_ew_oiii_5007_ew,3000,68,0.9069759249687195,4.754556445847383e-05,0.753300423958702,0.00012680615326845295
cov_nii_6584_ew_hbeta_ew,3000,58,0.965904712677002,4.5712821111365694e-05,0.9282304985892079,0.00010538379041542788
cov_halpha_ew_oiii_5007_ew,3000,57,0.9459448456764221,8.082915932917794e-05,0.9080976348273222,0.00014996336350275196
cov_halpha_ew_hbeta_ew,3000,41,0.9664487838745117,8.019743403153328e-05,0.9276440654823372,0.00018917703903665315
cov_oiii_5007_ew_hbeta_ew,3000,59,0.9491924047470093,6.891059767165344e-05,0.9136712102271363,0.0001259794870463524
