Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,800,39,-1252.0572509765625,0.9912026524543762,0.00014365267139386303,0.9694430656709299,0.0005088753154428996
halpha_ew_mean,800,40,-1194.443603515625,0.996788501739502,0.0002254952577533569,0.9892475396932476,0.0007562104560647224
oiii_5007_ew_mean,800,45,-1136.138916015625,0.9966104030609131,0.00031112256320370307,0.9893167685367028,0.0009529571008091376
hbeta_ew_mean,800,45,-1221.2579345703125,0.9970642924308777,0.00017639525008692706,0.9896387083928888,0.0006271172735254051
nii_6584_ew_std,800,45,-1271.18310546875,0.9660811424255371,0.0001264558251945715,0.9271616730004355,0.00030603956124327026
halpha_ew_std,800,43,-1237.865234375,0.9703242778778076,0.0001688178310039396,0.9380928054125031,0.0003828908212173038
oiii_5007_ew_std,800,44,-1203.6962890625,0.9362727403640747,0.00020504103546350853,0.8532996315834139,0.0005674912536824396
hbeta_ew_std,800,45,-1250.1383056640625,0.9592180252075195,0.00014550232809175135,0.9132044696913154,0.0003342784220599394
cov_nii_6584_ew_halpha_ew,800,44,-1387.1568603515625,0.9724088311195374,6.034864480654265e-05,0.9371392197136375,0.00015571397600606663
cov_nii_6584_ew_oiii_5007_ew,800,42,-1430.4229736328125,0.9115119576454163,4.522717478275962e-05,0.7749144483592335,0.00011569631945818707
cov_nii_6584_ew_hbeta_ew,800,35,-1442.558837890625,0.9678318500518799,4.312902876627641e-05,0.9275904103940884,0.00010632367321906855
cov_halpha_ew_oiii_5007_ew,800,47,-1344.37451171875,0.9480844736099243,7.762971049614725e-05,0.9044860318506392,0.0001558566626469283
cov_halpha_ew_hbeta_ew,800,43,-1346.5760498046875,0.9679961800575256,7.649865750115052e-05,0.9271485639351993,0.0001904725445974688
cov_oiii_5007_ew_hbeta_ew,800,39,-1366.3441162109375,0.9505618810653687,6.705316708259016e-05,0.9116284709913989,0.00012896045367133041
