algorithm,time,target,r2_train,mse_train,r2_test,mse_test,complexity,equation
RandomForest,3,nii_6584_ew,0.8723195968140687,0.015078739210363843,0.5169266058317834,0.05789160908997172,4000,N/A
RandomForest,2,halpha_ew,0.9326573503464393,0.014997370433398629,0.7384532363978359,0.05903534747503673,3900,N/A
RandomForest,3,oiii_5007_ew,0.8859374283973745,0.031845921757040915,0.5659158708739218,0.11942617001932246,4900,N/A
RandomForest,2,hbeta_ew,0.9252880712682133,0.013885226700778892,0.7137501093222067,0.05375196811382901,4000,N/A
Operon,109,nii_6584_ew,-0.9631733488302086,0.23184590754025072,-0.9470208575256565,0.2333313565487869,86,(0.616966 + (0.525495 * ((((1.414214 + ((0.444468 * X3) / (sqrt(1 + (((0.263825 * X2) - exp((0.835393 * X2))) * (0.263825 * X2)) ** 2)))) / (sqrt(1 + (tanh((exp((exp(tanh((1.548613 * X1))) + ((-1.228239) * X3))) / (sqrt(1 + exp((0.707107 * X1)) ** 2)))) * (((-0.499083) * X3) * tanh(((1.229202 * X1) ** 2)))) ** 2))) / (sqrt(1 + (tanh((((0.444468 * X3) / (sqrt(1 + exp((0.869493 + (0.444468 * X3))) ** 2))) - exp((tanh((1.548613 * X1)) - ((-0.419605) * X2))))) / (sqrt(1 + exp(exp((1.769023 * X2))) ** 2))) ** 2))) - exp(((0.263825 * X1) - ((-0.419605) * X2))))))
Operon,106,halpha_ew,-0.7350371167185576,0.3863969488724781,-0.7379760661124728,0.3922893923562902,92,(0.965225 + ((-0.149657) * ((((((0.816595 * X1) + (0.480047 * X2)) - tanh((0.318310 * X3))) - exp((0.825062 * X2))) + exp((1.299992 * X2))) - (exp(((0.551935 * X3) + (0.386228 * X2))) + (((exp(((0.519448 * X3) + (0.683049 * X2))) * ((-0.551405) * X1)) - ((0.434294 * X2) - (tanh((((2.302585 / (sqrt(1 + (exp((1.299992 * X2)) * ((-0.551405) * X1)) ** 2))) ** 2) / (sqrt(1 + exp(((0.693147 * X2) - tanh((0.707107 * X3)))) ** 2)))) / (sqrt(1 + ((exp((1.444266 * X3)) * ((-0.551405) * X1)) * (0.437184 * X1)) ** 2))))) - (0.434294 * X2))))))
Operon,93,oiii_5007_ew,-0.3573203216926326,0.3789596899012073,-0.36536245483146956,0.37564148912097717,75,(0.012973 + (0.158068 * ((((-0.172170) * X3) + (((((((-1.129136) * X1) / (sqrt(1 + ((tanh((1.267606 * X3)) - (0.316708 * X2)) - (0.504140 * X1)) ** 2))) / (sqrt(1 + ((0.480528 * X3) - (0.575601 * X2)) ** 2))) + ((-1.352673) * X2)) - (0.504140 * X1)) + exp(tanh(((tanh((((-0.824001) * X3) - (0.225677 * X1))) - (0.504140 * X2)) ** 2))))) + tanh((tanh(((((-1.129136) * X1) / (sqrt(1 + exp((tanh(exp((0.480528 * X3))) ** 2)) ** 2))) - (0.318310 * X2))) ** 2)))))
Operon,105,hbeta_ew,-0.6071356983669229,0.2986864867436502,-0.616669131372571,0.30357792415007384,82,(0.989889 + ((-0.199868) * ((((((0.707107 * X2) + exp(((0.693147 * X2) + tanh((0.693147 * X1))))) - (((-0.442818) * X1) + tanh((0.434294 * X3)))) + ((tanh(exp(exp((((-0.582256) * X1) - (exp(((1.414214 * X2) + tanh((0.631582 * X1)))) - exp(((0.707107 * X1) ** 2))))))) ** 2) ** 2)) + (tanh(tanh(tanh(tanh(tanh(tanh(((((-0.241705) * X3) - ((-0.314054) * X2)) - ((-0.316543) * X2)))))))) ** 2)) + (tanh(tanh(tanh((((-0.241705) * X3) - ((-0.314054) * X2))))) ** 2))))
PySR,1041,nii_6584_ew,0.5391686259884447,0.05442304328061164,0.5457915697327499,0.05443242622723471,30,(0.0252261*x1 - 0.070354*x2 + 0.0252261*exp(x0 + x1 + 0.024677*(-x0 + x1)*exp(x0 + x1)) + 0.0252261*tanh(x0) - 0.973874)**4
PySR,1002,halpha_ew,0.7446626297937664,0.056864247934596254,0.7487247775498407,0.05671689400743768,30,-0.143521*x0 - 0.165176*x1 - 0.143521*exp(x0*tanh(tanh(exp(x1 + x2))**2)) + 0.143521*tanh(x2) - tanh(1.39111*x1 - 2.367563) + 0.431496
PySR,703,oiii_5007_ew,0.5894611717399256,0.11462118747019956,0.5916504523396697,0.11234601597708181,24,0.791566 - tanh(0.283471*x0 + 0.322159*x1 + 0.283471*tanh(x2*tanh(x0*x0 - 1.377186*x1)) + 0.659787)
PySR,873,hbeta_ew,0.7180853869276609,0.052393886481294505,0.7262315062198665,0.05140821298969439,30,-tanh(0.029091*x1/tanh(exp(tanh(x0)))) + tanh((0.072513*(tanh(x1) + 1.712174)*tanh(x2) + 0.330846)*(-x0 - x1 + 2.111059))
