Complexity,Loss,Equation
1,0.2227024,"1.154109"
4,0.09776593,"sqrt(1.5468327 - x1)"
5,0.09646834,"sqrt(abs(x1 + -1.483505))"
6,0.08177105,"log((3.7867832 - x0) - x1)"
7,0.07017022,"log((3.5241024 - x1) - tanh(x0))"
8,0.06610064,"log((4.078078 - x0) - x1) * 0.8792026"
9,0.06494528,"(6.054904 / (x0 + (x1 + -5.5329986))) + 2.361042"
10,0.06442372,"log((4.803888 - x0) - (x1 * 1.5654359)) * 0.7927898"
11,0.063616425,"(6.8765497 / (((x1 * 1.5019231) + -6.612315) + x0)) + 2.3119304"
12,0.06332506,"abs((6.3822465 / ((x0 + -6.380717) + (x1 / 0.66935253))) + 2.2753632)"
13,0.059891164,"((tanh(x0 - tanh(x2)) + x1) / (x1 + -3.1319783)) + 1.2463808"
14,0.0596275,"((x1 + tanh(x0 - tanh(tanh(x2)))) / (x1 + -3.230539)) + 1.2465572"
15,0.058116812,"((tanh(x0 - tanh(x2 - -0.59838253)) + x1) / (x1 + -3.0814557)) + 1.1701424"
16,0.057951648,"abs(((tanh(x0 - tanh(x2 + 0.6020963)) + x1) / (x1 + -3.0529397)) + 1.1696362)"
17,0.05775215,"abs(((x1 + tanh(x0 - tanh(x2))) / (tanh(x2) + (x1 + -3.7379513))) + 1.263482)"
18,0.057498407,"((1.2276491 / ((x1 + tanh(x2)) + -4.2210526)) * (x1 + tanh(x0 - tanh(x2)))) + 1.2531571"
19,0.057350047,"abs(((1.1873235 / (x1 + (tanh(x2) + -4.108403))) * (tanh(x0 - tanh(x2)) + x1)) + 1.255536)"
20,0.057102583,"(((x0 - tanh(x2)) + (x1 * 1.4474983)) / ((tanh(x2) + -5.2550564) + (tanh(x0) + x1))) + 1.2672956"
21,0.05682338,"abs((((x1 * 1.4086171) + (x0 - tanh(x2))) / (x1 + ((tanh(x0) + -5.1508126) + tanh(x2)))) + 1.2691278)"
22,0.056818943,"abs((((x1 * 1.3757138) + (x0 - tanh(x2))) / (tanh(x0) + ((x1 + tanh(tanh(x2))) + -4.981444))) + 1.2686975)"
23,0.056476556,"abs((((x1 * 1.3857565) + (x0 - tanh(x2))) / (x1 + (tanh(x0) + (tanh(x2 * x0) + -5.199426)))) + 1.2608441)"
24,0.056469623,"abs((((x1 * 1.3453374) + (x0 - tanh(x2))) / (tanh(tanh(x0 * x2)) + ((x1 + -4.984626) + tanh(x0)))) + 1.2626404)"
25,0.056364443,"abs((((x1 * 1.3107162) + (x0 - tanh(x2))) / ((tanh((x1 + 0.5043372) * x2) + tanh(x0)) + (x1 + -5.16159))) + 1.263773)"
