algorithm,time,target,r2_train,mse_train,r2_test,mse_test,complexity,equation
RandomForest,3,nii_6584_ew,0.8723195968140687,0.015078739210363843,0.5169266058317834,0.05789160908997172,4000,N/A
RandomForest,2,halpha_ew,0.9326573503464393,0.014997370433398629,0.7384532363978359,0.05903534747503673,3900,N/A
RandomForest,3,oiii_5007_ew,0.8859374283973745,0.031845921757040915,0.5659158708739218,0.11942617001932246,4900,N/A
RandomForest,2,hbeta_ew,0.9252880712682133,0.013885226700778892,0.7137501093222067,0.05375196811382901,4000,N/A
Operon,126,nii_6584_ew,0.5404227237141814,0.05427493744699239,0.5455507419442465,0.05446128707603812,47,(1.221483 + (0.175577 * ((1.004142 * X3) - (((exp(((0.426742 * X1) + (0.762668 * X2))) + (0.240559 * X2)) + tanh((exp((0.698639 * X1)) - tanh((exp((0.399227 * X1)) + (0.739321 * X3)))))) + tanh((((0.426742 * X1) + (0.639152 * X2)) + 2.718282))))))
Operon,130,halpha_ew,0.7485301282515398,0.05600294670394653,0.7524189729626627,0.055883054173853024,38,(1.494497 + ((-0.202837) * ((((0.702348 * X1) + (0.614364 * X2)) / tanh(exp((tanh(tanh(tanh(tanh(tanh(tanh(((-0.386396) * X1))))))) + ((-0.588321) * X2))))) + exp((tanh(((-0.613186) * X3)) - tanh(((-0.317591) * X2)))))))
Operon,125,oiii_5007_ew,0.591641544958748,0.11401243392421018,0.5933497685877887,0.11187849639378576,45,(0.198688 + (0.343566 * (((((-0.617338) * X1) - (0.598663 * X2)) + ((-0.095204) * X3)) + ((tanh(((tanh(((-1.049277) * X3)) + ((-0.381089) * X2)) + ((((-0.545793) * X2) - (((-0.095204) * X3) + (0.434771 * X1))) * tanh(exp(((-1.049277) * X3)))))) ** 2) ** 2))))
Operon,132,hbeta_ew,0.7224697430286128,0.051579053034587354,0.7300277059694883,0.05069536308287963,47,(0.868161 + ((-0.263089) * ((tanh((tanh((tanh(((-0.344559) * X2)) + (((-0.205416) * X3) * exp((tanh(tanh((1.675922 * X2))) + ((-0.417943) * X3)))))) + ((-0.205416) * X3))) + ((0.331748 * X1) + (0.493899 * X2))) + exp((tanh((0.471355 * X1)) - ((-0.654204) * X2))))))
PySR,1041,nii_6584_ew,0.5391686259884447,0.05442304328061164,0.5457915697327499,0.05443242622723471,30,(0.0252261*x1 - 0.070354*x2 + 0.0252261*exp(x0 + x1 + 0.024677*(-x0 + x1)*exp(x0 + x1)) + 0.0252261*tanh(x0) - 0.973874)**4
PySR,1002,halpha_ew,0.7446626297937664,0.056864247934596254,0.7487247775498407,0.05671689400743768,30,-0.143521*x0 - 0.165176*x1 - 0.143521*exp(x0*tanh(tanh(exp(x1 + x2))**2)) + 0.143521*tanh(x2) - tanh(1.39111*x1 - 2.367563) + 0.431496
PySR,703,oiii_5007_ew,0.5894611717399256,0.11462118747019956,0.5916504523396697,0.11234601597708181,24,0.791566 - tanh(0.283471*x0 + 0.322159*x1 + 0.283471*tanh(x2*tanh(x0*x0 - 1.377186*x1)) + 0.659787)
PySR,873,hbeta_ew,0.7180853869276609,0.052393886481294505,0.7262315062198665,0.05140821298969439,30,-tanh(0.029091*x1/tanh(exp(tanh(x0)))) + tanh((0.072513*(tanh(x1) + 1.712174)*tanh(x2) + 0.330846)*(-x0 - x1 + 2.111059))
egGP,8540,nii_6584_ew,0.5316698737845291,0.05530862733317237,0.5362993524242909,0.05556997538736712,17,(Tanh(((x1 * -8.355064005948536e-2) - (x2 * -0.23445740671763182))) + Tanh(((1.1784984882605893 + (-0.3945747118080303 * (x0 + x1))) + (-0.20252943111440183 / Square((-1.9223893940232966 / x1))))))
egGP,8037,halpha_ew,0.7383482016415821,0.05827048630746345,0.7428787239565823,0.05803644314076461,17,(Tanh((((0.348853050038988 * (((Exp(x1) * -0.11809223252364102) + -0.8100436442616201) * x1)) + 0.7473992035874754) - (-0.19301062536076977 * (Tanh((x2 + x1)) - x0)))) * 1.9850293505081216)
egGP,7723,oiii_5007_ew,0.5871809699281367,0.11525781285456727,0.5889388135963838,0.11309204792770533,17,(0.732603172612561 + Tanh((((x1 - (Tanh(((0.2711268171239569 - (x2 + x1)) * x2)) * -0.6411631493860721)) * -0.3401660197393545) - (-0.2960105022408883 * (-2.0943899243254274 - x0)))))
egGP,8088,hbeta_ew,0.7122757397128099,0.05347361056283108,0.7188728082821825,0.052790028353777496,17,(Tanh(((Tanh(Exp((x1 * 1.0897175989538148))) - x0) + (((x2 * 0.11882483179325484) + -5.831993774601748e-2) - (-0.6776531533214015 * (x0 - x1))))) + (x1 * -4.203711413855292e-2))
