combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
43-47-49-45,43,47,49,45,0.5395240187644958,0.7470830082893372,0.5918325185775757,0.7217460870742798,0.0545001875961745,0.05615386120428056,0.11166307782829818,0.05084629435981709,0.2731634209885703
43-47-49-44,43,47,49,44,0.5395240187644958,0.7470830082893372,0.5918325185775757,0.721671462059021,0.0545001875961745,0.05615386120428056,0.11166307782829818,0.050854788749363035,0.27317191537811625
43-47-47-45,43,47,47,45,0.5395240187644958,0.7470830082893372,0.5916110873222351,0.7217460870742798,0.0545001875961745,0.05615386120428056,0.11167496598605615,0.05084629435981709,0.2731753091463283
43-47-48-45,43,47,48,45,0.5395240187644958,0.7470830082893372,0.5917304754257202,0.7217460870742798,0.0545001875961745,0.05615386120428056,0.11167644356041376,0.05084629435981709,0.2731767867206859
43-48-49-45,43,48,49,45,0.5395240187644958,0.747119128704071,0.5918325185775757,0.7217460870742798,0.0545001875961745,0.056167790685154546,0.11166307782829818,0.05084629435981709,0.2731773504694443
43-47-47-44,43,47,47,44,0.5395240187644958,0.7470830082893372,0.5916110873222351,0.721671462059021,0.0545001875961745,0.05615386120428056,0.11167496598605615,0.050854788749363035,0.27318380353587424
43-47-48-44,43,47,48,44,0.5395240187644958,0.7470830082893372,0.5917304754257202,0.721671462059021,0.0545001875961745,0.05615386120428056,0.11167644356041376,0.050854788749363035,0.2731852811102318
43-48-49-44,43,48,49,44,0.5395240187644958,0.747119128704071,0.5918325185775757,0.721671462059021,0.0545001875961745,0.056167790685154546,0.11166307782829818,0.050854788749363035,0.2731858448589903
43-48-47-45,43,48,47,45,0.5395240187644958,0.747119128704071,0.5916110873222351,0.7217460870742798,0.0545001875961745,0.056167790685154546,0.11167496598605615,0.05084629435981709,0.2731892386272023
43-48-48-45,43,48,48,45,0.5395240187644958,0.747119128704071,0.5917304754257202,0.7217460870742798,0.0545001875961745,0.056167790685154546,0.11167644356041376,0.05084629435981709,0.2731907162015599
