combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
43-38-40-47,43,38,40,47,0.5397072434425354,0.7485301494598389,0.5910818576812744,0.7224698066711426,0.05441051449632982,0.05588305384379626,0.11180201702923849,0.05069536310302376,0.27279094847238833
43-38-40-46,43,38,40,46,0.5397072434425354,0.7485301494598389,0.5910818576812744,0.7224181890487671,0.05441051449632982,0.05588305384379626,0.11180201702923849,0.05070382356115253,0.2727994089305171
43-38-40-45,43,38,40,45,0.5397072434425354,0.7485301494598389,0.5910818576812744,0.7223343849182129,0.05441051449632982,0.05588305384379626,0.11180201702923849,0.05070569214389931,0.2728012775132639
43-38-40-42,43,38,40,42,0.5397072434425354,0.7485301494598389,0.5910818576812744,0.722253680229187,0.05441051449632982,0.05588305384379626,0.11180201702923849,0.05070912425734517,0.2728047096267097
43-38-40-41,43,38,40,41,0.5397072434425354,0.7485301494598389,0.5910818576812744,0.7221635580062866,0.05441051449632982,0.05588305384379626,0.11180201702923849,0.05072549665690676,0.2728210820262713
47-38-40-47,47,38,40,47,0.5404226183891296,0.7485301494598389,0.5910818576812744,0.7224698066711426,0.05446128695712334,0.05588305384379626,0.11180201702923849,0.05069536310302376,0.2728417209331818
47-38-40-46,47,38,40,46,0.5404226183891296,0.7485301494598389,0.5910818576812744,0.7224181890487671,0.05446128695712334,0.05588305384379626,0.11180201702923849,0.05070382356115253,0.2728501813913106
47-38-40-45,47,38,40,45,0.5404226183891296,0.7485301494598389,0.5910818576812744,0.7223343849182129,0.05446128695712334,0.05588305384379626,0.11180201702923849,0.05070569214389931,0.2728520499740574
47-38-40-42,47,38,40,42,0.5404226183891296,0.7485301494598389,0.5910818576812744,0.722253680229187,0.05446128695712334,0.05588305384379626,0.11180201702923849,0.05070912425734517,0.27285548208750326
43-38-42-47,43,38,42,47,0.5397072434425354,0.7485301494598389,0.591460645198822,0.7224698066711426,0.05441051449632982,0.05588305384379626,0.1118679374971305,0.05069536310302376,0.27285686894028033
