combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
25-25-25-25,25,25,25,25,0.5311232805252075,0.7434190511703491,0.5873445868492126,0.7188795208930969,0.05548573202490148,0.05721049791278843,0.11300523105008028,0.0515015428688099,0.2772030038565801
25-22-25-25,25,22,25,25,0.5311232805252075,0.7425686717033386,0.5873445868492126,0.7188795208930969,0.05548573202490148,0.05734209116790993,0.11300523105008028,0.0515015428688099,0.2773345971117016
25-25-25-24,25,25,25,24,0.5311232805252075,0.7434190511703491,0.5873445868492126,0.7170562148094177,0.05548573202490148,0.05721049791278843,0.11300523105008028,0.05178549557725267,0.27748695656502287
21-25-25-25,21,25,25,25,0.5285353660583496,0.7434190511703491,0.5873445868492126,0.7188795208930969,0.05583469718235582,0.05721049791278843,0.11300523105008028,0.0515015428688099,0.27755196901403445
24-25-25-25,24,25,25,25,0.5288138389587402,0.7434190511703491,0.5873445868492126,0.7188795208930969,0.05584504664636968,0.05721049791278843,0.11300523105008028,0.0515015428688099,0.2775623184780483
25-22-25-24,25,22,25,24,0.5311232805252075,0.7425686717033386,0.5873445868492126,0.7170562148094177,0.05548573202490148,0.05734209116790993,0.11300523105008028,0.05178549557725267,0.27761854982014433
21-22-25-25,21,22,25,25,0.5285353660583496,0.7425686717033386,0.5873445868492126,0.7188795208930969,0.05583469718235582,0.05734209116790993,0.11300523105008028,0.0515015428688099,0.2776835622691559
24-22-25-25,24,22,25,25,0.5288138389587402,0.7425686717033386,0.5873445868492126,0.7188795208930969,0.05584504664636968,0.05734209116790993,0.11300523105008028,0.0515015428688099,0.2776939117331698
21-25-25-24,21,25,25,24,0.5285353660583496,0.7434190511703491,0.5873445868492126,0.7170562148094177,0.05583469718235582,0.05721049791278843,0.11300523105008028,0.05178549557725267,0.2778359217224772
24-25-25-24,24,25,25,24,0.5288138389587402,0.7434190511703491,0.5873445868492126,0.7170562148094177,0.05584504664636968,0.05721049791278843,0.11300523105008028,0.05178549557725267,0.2778462711864911
25-25-22-25,25,25,22,25,0.5311232805252075,0.7434190511703491,0.5847432613372803,0.7188795208930969,0.05548573202490148,0.05721049791278843,0.11376899799037798,0.0515015428688099,0.2779667707968778
21-22-25-24,21,22,25,24,0.5285353660583496,0.7425686717033386,0.5873445868492126,0.7170562148094177,0.05583469718235582,0.05734209116790993,0.11300523105008028,0.05178549557725267,0.2779675149775987
24-22-25-24,24,22,25,24,0.5288138389587402,0.7425686717033386,0.5873445868492126,0.7170562148094177,0.05584504664636968,0.05734209116790993,0.11300523105008028,0.05178549557725267,0.27797786444161254
20-25-25-25,20,25,25,25,0.5259456634521484,0.7434190511703491,0.5873445868492126,0.7188795208930969,0.05626066709103346,0.05721049791278843,0.11300523105008028,0.0515015428688099,0.27797793892271205
25-22-22-25,25,22,22,25,0.5311232805252075,0.7425686717033386,0.5847432613372803,0.7188795208930969,0.05548573202490148,0.05734209116790993,0.11376899799037798,0.0515015428688099,0.2780983640519993
20-22-25-25,20,22,25,25,0.5259456634521484,0.7425686717033386,0.5873445868492126,0.7188795208930969,0.05626066709103346,0.05734209116790993,0.11300523105008028,0.0515015428688099,0.2781095321778336
25-25-21-25,25,25,21,25,0.5311232805252075,0.7434190511703491,0.5840564370155334,0.7188795208930969,0.05548573202490148,0.05721049791278843,0.11403045261578781,0.0515015428688099,0.27822822542228764
25-25-22-24,25,25,22,24,0.5311232805252075,0.7434190511703491,0.5847432613372803,0.7170562148094177,0.05548573202490148,0.05721049791278843,0.11376899799037798,0.05178549557725267,0.27825072350532054
20-25-25-24,20,25,25,24,0.5259456634521484,0.7434190511703491,0.5873445868492126,0.7170562148094177,0.05626066709103346,0.05721049791278843,0.11300523105008028,0.05178549557725267,0.27826189163115483
25-21-25-25,25,21,25,25,0.5311232805252075,0.7379428744316101,0.5873445868492126,0.7188795208930969,0.05548573202490148,0.05830335416606482,0.11300523105008028,0.0515015428688099,0.2782958601098565
21-25-22-25,21,25,22,25,0.5285353660583496,0.7434190511703491,0.5847432613372803,0.7188795208930969,0.05583469718235582,0.05721049791278843,0.11376899799037798,0.0515015428688099,0.2783157359543321
