Complexity,Loss,Equation
1,0.118097514,"0.7059416"
4,0.09135794,"tanh(1.4555491 - x1)"
5,0.08492237,"tanh(log(2.68949 - x1))"
6,0.08315862,"tanh(x1 + -1.5949233) * -0.8710607"
7,0.07618385,"tanh(exp((x2 - x1) - x0))"
8,0.06930318,"tanh(sqrt(exp((x2 - x1) - x0)))"
9,0.06813586,"tanh(exp((x0 - (x2 - x1)) * -0.6166995))"
10,0.06444337,"((x2 - (x0 + -5.5186076)) - exp(x1)) * 0.17183372"
11,0.060789306,"(tanh(x0) + (exp(x1) - (x2 - -4.7428446))) * -0.21358222"
12,0.05961717,"((x2 - -7.396082) * 0.23892075) - exp((x1 + x0) * 0.21025223)"
13,0.05728585,"square((exp((x0 + x1) * 0.66909015) - x2) + -8.016762) * 0.016902441"
14,0.056065008,"square((exp(exp((x1 + x0) * 0.2613234)) - x2) + -9.520606) * 0.017608626"
16,0.055407275,"square(((exp(exp(((x0 * 0.6923142) + x1) * 0.31101686)) + -9.480863) - x2) * 0.13361515)"
17,0.05485554,"(square((exp((x0 + x1) * 0.5929984) + -7.530857) - x2) * 0.018990446) + (x1 * -0.065050654)"
18,0.05484137,"abs(square((exp((x0 + x1) * 0.5929753) + (-7.5277004 - x2)) * -0.13786179) - (x1 * 0.065397814))"
19,0.05474206,"(x1 * -0.062433437) + ((square(exp((x0 + x1) * 0.6048896) + (-6.1380157 - x2)) * 0.024631944) + 0.15870766)"
20,0.054698825,"abs(square(((exp((x1 + x0) * 0.6017947) + -6.475413) - x2) * 0.15162331) - (x1 * 0.06367147)) - -0.11993629"
22,0.054554343,"square(((exp((x1 + (abs(x1 * 0.31728584) + x0)) * 0.517003) - x2) + -7.572021) * 0.13813265) + (x1 * -0.072676525)"
23,0.05442959,"(square(exp(((abs(x1) * 0.6322638) + (x1 + x0)) * 0.5445816) + (-7.2883315 - x2)) * 0.020456327) + abs(x1 * 0.097993426)"
24,0.05442944,"abs(abs(x1 * -0.09803948) + (square((-7.2954035 - x2) + exp(0.5448074 * ((x0 + x1) + abs(x1 * -0.6341276)))) * 0.02041332))"
25,0.05430903,"(square((exp(((abs(x1 * 0.66437876) + x1) + x0) * 0.5264203) + -7.290028) - x2) * 0.020408971) + abs((x1 - 0.15804912) * 0.09558099)"
