Complexity,Loss,Equation
1,0.18585017,"0.49981532"
4,0.08102102,"tanh(0.9542544 - x1)"
5,0.072416775,"tanh(logabs(2.0745943 - x1))"
6,0.07233401,"(2.9181054 - exp(x1)) * 0.33147758"
7,0.069204986,"((2.4691484 - x0) - x1) * 0.20242609"
8,0.058199946,"logabs((x1 - (4.8579597 - x0)) * -0.36158532)"
9,0.056833606,"logabs((2.7767835 - x1) - tanh(x0)) * 0.5868919"
10,0.056544956,"logabs((x0 / 1.7098001) - (2.696341 - x1)) * 0.5977191"
11,0.055414613,"tanh(((2.0238192 - x0) - x1) / (2.8587093 - tanh(x2)))"
13,0.05461924,"tanh(((2.023708 - x0) - x1) / (3.3910058 - tanh(x2))) * 1.124782"
15,0.054480497,"tanh(((((tanh(x2) * 0.258846) + 0.7354865) * (2.1183074 - x0)) - x1) / 2.1540046)"
16,0.054368895,"tanh(((2.0462875 - x0) - x1) * (0.3482989 - (x2 * (-0.07107104 - (x1 * 0.04228767)))))"
17,0.052949782,"(x1 * -0.06803054) + tanh((0.32832325 - (tanh(x2) * -0.118409656)) * ((2.1897542 - x0) - x1))"
19,0.052876074,"(x1 * -0.06911802) + tanh((0.3286018 - (tanh(x2 * 0.72231185) * -0.138654)) * ((2.1947145 - x0) - x1))"
20,0.05284479,"tanh(((2.1779711 - x0) - x1) * (0.3271198 - (tanh(x2) * -0.11221501))) + (sqrtabs(x0) * (x1 * -0.062303804))"
21,0.052398324,"(x1 * -0.126957) + tanh(((2.3290002 - x0) - x1) * (0.31059048 - (tanh((x2 + x1) * 0.3858748) * -0.17500938)))"
23,0.052208975,"tanh(((2.3337452 - x0) - x1) * (0.41332167 - (tanh((x2 + (x1 + -1.4742879)) * 0.27704826) * -0.2865395))) + (x1 * -0.12728949)"
24,0.05212362,"tanh(x1 * -0.13919273) + tanh((0.3891286 - (tanh((x2 + (x1 + -1.1854254)) * 0.3029669) * -0.26115558)) * ((2.3603017 - x0) - x1))"
25,0.052066427,"tanh(tanh(x1 * -0.14618888)) + tanh(((2.3724945 - x0) - x1) * (0.38990062 - (tanh(((x1 + x2) + -1.1858566) * 0.32003975) * -0.25684914)))"
