Complexity,Loss,Equation
1,0.27919692,"0.3319839"
3,0.273558,"x1 * -0.34037092"
4,0.21183364,"exp(-1.931364 - x0)"
5,0.16334486,"(x1 * -0.34037614) + 0.33194673"
6,0.16038777,"tanh(x1 * -0.42882288) + 0.35185277"
7,0.12760568,"(1.4387026 - (x1 + x0)) * 0.2307593"
9,0.12562422,"square(0.40907845 + tanh((x0 + x1) * -0.26516914))"
10,0.12030233,"tanh(((x0 + x1) * -0.34554118) - 0.63345474) + 0.80227363"
12,0.11781035,"((x1 + (x0 - tanh(x2 * x1))) * -0.23907703) + 0.2612039"
14,0.11694494,"tanh((((x1 + x0) - square(tanh(x2))) * -0.31575355) - 0.65771765) + 0.754837"
15,0.11685767,"tanh(((x1 + (x0 - tanh(x2 * x1))) * -0.29767367) - 0.49182382) + 0.6734852"
16,0.11612468,"tanh(((x1 + (x0 - square(tanh(0.3127011 - x2)))) * -0.31311855) - 0.72358537) + 0.793442"
17,0.11585524,"tanh((((x1 + x0) - tanh((x1 + -0.309826) * x2)) * -0.2899574) - 0.54289067) + 0.711808"
18,0.115444586,"tanh((((x1 + x0) - (tanh(x2) * tanh(x1 - 0.40634474))) * -0.3019622) - 0.5810082) + 0.74503833"
20,0.11529465,"(tanh((((x1 - (tanh(x2) * tanh(x1 + -0.41212216))) + x0) * -0.25590816) - 0.543391) * 1.1361176) + 0.79414827"
21,0.11512504,"0.74904525 + tanh(((x1 + (x0 - tanh((-0.5752758 * ((x0 * x0) - x1)) * x2))) * -0.2872687) - 0.583026)"
22,0.11489464,"tanh((((x0 + x1) - tanh(square((tanh(x1 - square(x0)) * x2) - -0.45894402))) * -0.31252965) - 0.7557861) + 0.8001429"
23,0.11476519,"tanh(((((x1 - (tanh(x1 + (square(x0) * -0.70781094)) * tanh(x2))) + x0) * -0.2636059) - 0.5431136) * 1.1222886) + 0.76538515"
24,0.114643045,"0.7979895 + (tanh((-0.25438073 * ((x1 - (tanh(x1 + tanh(-0.86352617 * square(x0))) * tanh(x2))) + x0)) - 0.55836105) * 1.1293199)"
25,0.114575766,"(tanh((((x1 - tanh(x2 * (tanh(x1) + tanh((x0 * -0.45115885) * x0)))) + x0) * -0.25438073) - 0.55836105) * 1.1293199) + 0.7979895"
26,0.114472024,"(tanh((((x0 + (x1 * 1.0803788)) - tanh(x2 * ((tanh(square(x0)) * -0.8351712) + tanh(x1)))) * -0.2455243) - 0.595203) * 1.1195889) + 0.8240516"
27,0.11445288,"(tanh((((x1 - (tanh(x2) * tanh(x1 + tanh(x0 * ((x0 + -0.6396203) * -0.48465788))))) + x0) * -0.25391087) - 0.5331496) * 1.144968) + 0.78106385"
28,0.11442981,"(tanh(((x0 + (x1 - (tanh(tanh(tanh(tanh(x0)) + (square(x0) * -0.86477995)) + x1) * tanh(x2)))) * -0.25652042) - 0.5623357) * 1.1364533) + 0.7986376"
