Complexity,Loss,Equation
1,0.065508425,"1.2068217"
3,0.05153668,"11.17402 / x0"
4,0.044909004,"square(10.132959 / x0)"
5,0.03995907,"(x0 * -0.40841982) + 4.9819584"
6,0.033005837,"square((x3 + -9.643788) / x0)"
7,0.032117255,"(21.11173 / (x3 + x0)) + -1.2119834"
9,0.025591355,"tanh(square(x2) + (x1 - x0)) + 0.57265043"
10,0.021614835,"tanh((x2 * -0.54885906) + (x1 - x0)) + 0.5923068"
11,0.021045903,"tanh((tanh(x3 * x2) + x1) - x0) + 0.6348062"
12,0.019564709,"tanh((((x3 + -0.3115238) * x2) + x1) - x0) + 0.53966796"
13,0.018014897,"tanh(tanh((x3 + -0.3291743) * x2) + (x1 - x0)) + 0.5555483"
14,0.01600758,"(tanh((x1 - x0) + (x2 * -0.47892025)) + 0.5218305) + (x3 * -0.19493939)"
15,0.015922686,"(x3 * -0.19663508) + (tanh((x1 + tanh(x2 * -0.5196827)) - x0) + 0.515314)"
17,0.015744297,"(tanh(tanh((x1 + ((x2 * -0.44916186) + -0.20357154)) - x0)) + (x3 * -0.19526742)) + 0.71597993"
18,0.013569994,"(((x3 - (x1 / -0.8330136)) * -0.16068788) + tanh(x1 + ((x2 * -0.5069572) - x0))) + 2.4125743"
20,0.011854465,"((x3 * -0.21348527) + (tanh((x2 * -0.42565745) + (x1 - x0)) + 0.5686459)) + ((x1 - x4) * -0.10756229)"
21,0.011613945,"(tanh((x1 + (x2 * -0.43573102)) - x0) + (x3 * -0.21153475)) + ((tanh(x1 - x4) * -0.1572674) + 0.56772137)"
23,0.011518741,"(x3 * -0.20277287) + (((tanh(x1 - x4) * -0.16183993) + 0.5978092) + tanh((x1 - x0) + ((x2 * -0.45380494) - 0.048073214)))"
28,0.011325281,"(tanh(tanh(x1 + (tanh((x2 * -0.45267087) + -0.20360719) - x0)) + ((((x1 - x4) + -1.0385798) * -0.12951517) + -0.20528719)) + 0.8074441) + (x3 * -0.20556109)"
30,0.011205737,"(((x3 * -0.20462283) + -0.0426728) + tanh(tanh((x1 + tanh(tanh(tanh((x2 * -0.46628422) + -0.20138165)))) - x0) + ((x1 - (x4 + -0.64324796)) * -0.12858824))) + 0.8558325"
