Complexity,Loss,Equation
1,0.003264928,"0.21376282"
3,0.0028637447,"2.0014079 / x4"
5,0.0027225423,"2.1818457 / (x4 - x2)"
6,0.0024637885,"(exp(x2) + 1.3999715) / x4"
7,0.002435424,"(tanh(tanh(x2)) + 2.425917) / x4"
8,0.0023784947,"(tanh(x2) + (x1 * 0.25395614)) / x4"
9,0.0023464456,"(tanh(tanh(x2)) + (x1 * 0.2491891)) / x4"
10,0.0023105713,"(x1 * (0.2521498 / x4)) + (tanh(x2) * 0.10354782)"
11,0.0022995884,"((x1 + -7.2046313) / x4) + (tanh(tanh(x2)) * 0.13519458)"
12,0.0022249785,"(x1 * (0.26984262 / x4)) + (tanh(x2 + x2) * 0.09436616)"
13,0.0022158509,"(tanh(tanh(x3) + x2) * 0.094687715) + ((x1 / x4) * 0.2663171)"
14,0.0021431383,"(x1 * (0.2727182 / (x3 + x4))) + (tanh(x3 + x2) * 0.12566812)"
15,0.0021417947,"tanh((tanh(x2 + x3) * 0.13334273) + (x1 * (0.28086388 / (x3 + x4))))"
16,0.0021341366,"((x1 / x4) + (tanh((0.5511873 - x5) + (x2 + x2)) * 0.31089097)) / 3.8353899"
17,0.002075419,"(x1 * (0.32126525 / x4)) + (tanh(x2 + tanh(x3 + (x5 * -1.1206676))) * 0.14852735)"
18,0.0020580306,"((x1 * 0.32272202) / x4) + (tanh(x2 + tanh(tanh(x3 + (x5 * -1.2343369)))) * 0.1558087)"
19,0.0020242,"(tanh((x2 + tanh(x3 + (x5 * -2.064311))) + 0.512327) * 0.11693918) + ((x1 * 0.27959356) / x4)"
20,0.0020162666,"((tanh(x2 + tanh((x2 + square(1.0669388 - x5)) + x3)) * 0.334111) + (x1 / x4)) / 3.8165894"
21,0.0019964676,"((tanh(x2 + ((x2 + square(x5 - 0.99092376)) + tanh(tanh(x3)))) * 0.31297162) + (x1 / x4)) / 3.8472745"
22,0.0019159362,"((x1 / x4) + (tanh(x2 + (x3 + square(((x0 + 1.1412616) - x1) - tanh(x5)))) * 0.30211207)) / 4.0870533"
24,0.0018544449,"((x1 / x4) + (tanh(x2 + (square(((x0 + (1.4379317 + x2)) - x1) - tanh(x5)) + x2)) * 0.30211207)) / 4.0870533"
