Complexity,Loss,Equation
1,0.0031798533,"0.20889434"
3,0.0028517975,"1.9545753 / x4"
5,0.0025218097,"(x2 + 2.5058606) / x4"
6,0.0023224715,"(tanh(x2) + 2.4255204) / x4"
8,0.0022702322,"(2.4515996 / x4) + (tanh(x2) * 0.11354418)"
9,0.00223994,"(2.5140755 / x4) + (tanh(tanh(x2)) * 0.14175458)"
10,0.002226741,"(tanh(tanh(tanh(x2))) * 0.16544236) + (2.5573158 / x4)"
11,0.0022180027,"(tanh(x2 * 1.9475372) * tanh(0.09881319)) + (2.5922275 / x4)"
12,0.0021870537,"((3.3431828 / x4) / 1.2828201) + (tanh(x2 * 1.8379071) / x1)"
13,0.0021517826,"tanh((tanh((x3 + -1.582061) * x2) * -0.10742547) + (2.6976082 / x4))"
15,0.002151759,"tanh((tanh((x3 + -1.582061) * x2) * -0.10742547) + (2.6976082 / (x4 / 1.0001721)))"
17,0.0021417208,"tanh((x1 + -7.1496553) / (((tanh(x2 * -0.78008467) * (x4 + -5.9318137)) / 0.43631265) + x4))"
18,0.002120433,"(2.8457963 / ((tanh(x2 * ((x3 - x5) + -0.6544712)) * (x4 + -3.9366968)) + x4)) / 1.0791745"
19,0.0020393485,"tanh((x1 + -7.117323) / (((x4 + -4.1669116) * tanh(x2 * ((x2 + x3) - x5))) + x4))"
21,0.002012573,"tanh((x1 + -7.0329933) / (x4 + (((x4 + -3.2503178) - x5) * tanh(x2 * (x3 + (-0.67724216 - x5))))))"
22,0.0019961784,"tanh((x1 + -6.952753) / ((tanh(((x2 + x3) + (tanh(x5) * -2.0797105)) * x2) * (x4 + -3.3107116)) + x4))"
23,0.001988524,"tanh((x1 + -6.523162) / ((tanh(x2 * (x3 + (-0.6021421 - x5))) * (x4 + (-3.3103902 - x5))) + x4)) - 0.040803604"
24,0.001980004,"tanh((x1 + -6.523162) / ((tanh(x2 * ((x3 + -0.6021421) - x5)) * (x4 + (-3.3103902 - square(x5)))) + x4)) - 0.040803604"
25,0.001976243,"tanh((-7.0034814 + x1) / ((tanh((x2 + (x3 + ((-0.6796451 * x5) - x5))) * x2) * (x4 + (-3.2840688 - x5))) + x4))"
26,0.00197232,"tanh(tanh((x1 + -6.9588833) / (x4 + (((x4 + -3.2824047) - (x1 - x4)) * tanh((((x2 + x3) + -0.2887988) - x5) * x2)))))"
27,0.0019683568,"tanh((x1 + -6.9825993) / ((tanh((x2 + (x3 + ((x5 * -0.7819114) - x5))) * x2) * (x4 + (-3.228225 - (x1 - x4)))) + x4))"
28,0.0019525721,"tanh(tanh((x1 + -6.869466) / ((((-3.0184948 - (x1 - x4)) + x4) * tanh(x2 * (((x3 + x2) + (x5 * -1.3360065)) - x5))) + x4)))"
29,0.0019465814,"tanh(tanh((x1 + -6.86845) / (((x4 + (-3.014637 - (x1 - x4))) * tanh(x2 * ((x3 + (x2 + (x5 * -1.3320079))) - tanh(x5)))) + x4)))"
30,0.001938073,"tanh(tanh(tanh((x1 + -6.8159537) / (((x4 + (-3.0225308 - (x1 - x4))) * tanh(((x2 + x3) + ((x5 * -1.3355178) - tanh(x5))) * x2)) + x4))))"
