Complexity,Loss,Equation
1,0.041636012,"0.7636664"
3,0.035914756,"x4 * 0.0816103"
4,0.03457798,"square(x4 * 0.092808746)"
5,0.02739888,"(x4 / x0) + -0.2527639"
6,0.022534676,"square(x4 / x0) + -0.27408937"
7,0.02210309,"((x4 - x3) / x0) + -0.30406803"
8,0.016673893,"square(((x4 - x3) / x0) + -0.19712947)"
9,0.016201688,"(((x4 - x3) / x0) * 1.929344) + -1.2963994"
10,0.01508711,"square(((x4 + -2.3131483) - x3) / (x0 + x2))"
11,0.014012731,"(((x4 - x2) - x3) * (1.8183666 / x0)) + -1.286113"
12,0.013500588,"((((x4 - x2) - tanh(x3)) * 1.9775558) / x0) + -1.4485048"
13,0.013411465,"((((x4 - x2) - x3) * 1.5787556) / x0) + (x0 * -0.10987492)"
14,0.0128540825,"(x0 * -0.11165978) + (((x4 - x2) / (tanh(x3) + x0)) * 1.5957702)"
16,0.012514637,"(((x4 - (x2 - -1.3455951)) * 1.7790037) / (x0 + tanh(x3))) + (x0 * -0.10465498)"
18,0.010654341,"((x1 - x3) / (x2 + x0)) + (-2.077798 + ((x4 * 0.20667201) + (exp(x0) * -2.51063e-5)))"
20,0.0099887205,"((exp(x0) * -2.7199245e-5) + ((((x1 - x3) / x0) + (x2 * -0.20144428)) + -2.0504084)) + (x4 * 0.20198229)"
27,0.009908928,"(((x1 - ((-2.0974839 / x1) - ((exp(x0) * 0.0005751506) - x3))) / (x0 + x2)) + ((x4 * 0.19751497) + (exp(x0) * -8.4201456e-5))) + -2.0905175"
29,0.009190855,"(((((x1 - ((-2.7310941 / x1) - (exp(x0) * 0.0017102687))) - x3) / ((x2 * 0.5797515) + x0)) + (x4 * 0.2069063)) + (exp(x0) * -0.00019682567)) + -2.2827814"
30,0.00867848,"(x4 * 0.21189456) + ((exp(x0) * -0.00025772705) + (((((x1 - (-2.0854383 / x4)) - (exp(x0) * -0.0023061899)) - x3) / ((tanh(x2) * 0.7581277) + x0)) + -2.3931513))"
