Complexity,Loss,Equation
1,0.00027580446,"0.036496762"
3,0.00025866067,"0.34238803 / x4"
4,0.0002549259,"3.162659 / square(x4)"
5,0.00025268106,"(0.035225432 / x4) * x1"
6,0.0002410517,"3.5581925 / square(x2 - x4)"
7,0.00023845345,"(x2 * 0.015092949) + (0.41968736 / x4)"
8,0.00023363445,"(tanh(x2) * 0.023559116) + (0.44552583 / x4)"
9,0.00023161396,"(0.45998186 / x4) + (tanh(tanh(x2)) * 0.029795391)"
10,0.00022292927,"((x2 + -4.868569) / square(x1)) + (0.8762072 / x4)"
11,0.00022274673,"((x2 + -4.870982) / square(x1)) + tanh(0.87697786 / x4)"
12,0.00021486728,"((x2 + -10.950106) / square(x1)) + ((0.7128181 / x4) - -0.08150856)"
13,0.0002084878,"((0.12586229 / x4) + (tanh(x2 + -1.0129414) / square(x1))) * x4"
14,0.0002079027,"((0.123307474 / x4) + (tanh(tanh(x2) + -0.93360996) / square(x1))) * x4"
15,0.0002042383,"((0.12886733 / x4) + (tanh(x2 + (-0.72191215 - x5)) / square(x1))) * x4"
16,0.00020052823,"((tanh((x2 - tanh(x5)) + -0.67469853) / square(x1)) + (0.12753646 / x4)) * x4"
17,0.00019871129,"((tanh((x2 + -0.65731066) - tanh(tanh(x5))) / square(x1)) + (0.1267108 / x4)) * x4"
18,0.00019784647,"x4 * ((tanh(x2 + (-0.65288234 - tanh(tanh(tanh(x5))))) / square(x1)) + (0.12617767 / x4))"
19,0.00019763682,"x4 * ((tanh(x2 + (-0.65288234 - tanh(tanh(tanh(tanh(x5)))))) / square(x1)) + (0.12617767 / x4))"
20,0.0001976119,"tanh(((tanh((-0.65288234 - tanh(tanh(tanh(tanh(x5))))) + x2) / square(x1)) + (0.12617767 / x4)) * x4)"
21,0.0001872787,"(((0.3049569 / x4) + (tanh((x2 + (x5 / -0.5527938)) + -0.25380886) / square(x1))) * (x5 + x4)) - 0.19115134"
22,0.00018416707,"((((tanh(tanh(x2 - x5)) * 0.8160364) + -0.35014626) / square(x5 + x1)) + ((0.011576299 / x4) * x1)) * x4"
23,0.00018414928,"tanh(((((tanh(tanh(x2 - x5)) * 0.8160364) + -0.35014626) / square(x5 + x1)) + ((0.011576299 / x4) * x1)) * x4)"
26,0.00018196681,"(x1 * ((x4 + x5) * ((tanh(tanh((x5 / -0.8017794) + (x2 + -0.07992798))) * (0.09354909 / square(x1))) + (0.021372281 / x4)))) - 0.120132044"
