Complexity,Loss,Equation
1,0.07433453,"0.24868105"
3,0.051485907,"square(tanh(x3))"
4,0.050899338,"tanh(square(tanh(x3)))"
5,0.039103717,"square(tanh(x0 - x1))"
6,0.037383925,"tanh(tanh(square(x0 - x1)))"
7,0.031574506,"(18.765741 / (x3 + x0)) + -1.933014"
8,0.026340384,"tanh((x1 - x0) / (x3 + 2.1938024))"
9,0.024247136,"tanh((x1 - x0) / square(x3 + 1.9722346))"
10,0.023163933,"tanh(square(tanh((x1 - x0) / (x3 + 1.488494))))"
11,0.02244454,"tanh((x0 - x1) / (-1.330901 / (square(x3) + 0.39627284)))"
12,0.021663364,"tanh(square(((x3 + 0.38219413) * 0.3912605) - tanh(x1 - x0)))"
13,0.02158329,"tanh(square(tanh(x1 - x0) - ((x3 + tanh(x5)) * 0.3858842)))"
14,0.020335983,"tanh(square(tanh(x1 - x0) - ((tanh(tanh(x5)) + x3) * 0.39662784)))"
15,0.019381946,"tanh((x1 - x0) / ((x2 + (x4 * 0.23472132)) / (square(x3) + 0.53170323)))"
17,0.018554077,"-0.055887233 + tanh((x1 - x0) / (((x4 * 0.23523416) + x2) / (square(x3) + 0.6887449)))"
19,0.01780193,"tanh((x1 - x0) / (((x4 * 0.24866538) + x2) / ((-0.82187927 / (8.400603 - x1)) + square(x3))))"
21,0.017098077,"tanh((x1 - x0) / ((x2 + (x4 * 0.23106755)) / ((square(x3) + 0.5710001) / ((8.367713 - x1) * -0.7688742))))"
23,0.016004866,"tanh(((x1 - x0) / (((x4 * 0.24632464) + x2) / ((square(x3) + 0.96283436) / ((8.367894 - x1) * -0.785709)))) + -0.06917485)"
24,0.015724484,"tanh(((x1 - x0) / ((x2 + (x4 * 0.25781637)) / ((square(x3) + 0.6934303) / square((7.2030573 - x1) * -0.35487)))) - 0.07948758)"
26,0.015545135,"tanh(((x1 - x0) / (((x4 * 0.24674565) + x2) / ((square(x3) + 0.73567826) / (square((7.2372127 - x1) * -0.4062964) + -0.15149745)))) - 0.089714356)"
30,0.015330196,"tanh(((x1 - x0) / (((x2 + ((x4 + x4) * 0.120784335)) / ((square(x3) + 0.65158504) / square((x1 - 7.2227435) * -0.35487053))) - (x5 * -0.14033096))) - 0.077111416)"
