Complexity,Loss,Equation
1,0.0009850317,"0.042416137"
3,0.00091750413,"0.4027212 / x4"
4,0.00079131173,"337.66486 / exp(x0)"
5,0.0006779089,"(3.421842 / x0) - 0.32852277"
6,0.0006669613,"square((6.2938337 / x0) - 0.47829568)"
7,0.0006131664,"(x1 * (0.3943251 / x0)) - 0.37392855"
9,0.0005573343,"(((x1 * 3.3906703) / x0) + -3.1842759) / x4"
10,0.00053803786,"((x1 * (27.117956 / x0)) + -24.996841) / square(x4)"
13,0.00053197297,"((((x1 / x0) * 3.492443) + -2.7013977) / (x4 + x5)) - 0.05746177"
14,0.0005292541,"((((x1 * 3.378051) / x0) + -2.4984748) / (tanh(x5) + x4)) - 0.066689536"
16,0.00052333955,"(((x1 * 1.0822599) - x0) * (square(x1 / x4) / (x5 + x0))) * 0.2849393"
17,0.00052300753,"tanh(((((x1 * 1.0804502) - x0) * square(x1 / x4)) / (x5 + x0)) * 0.28917646)"
18,0.0005227983,"tanh(tanh((((x1 * 1.0788723) - x0) * (square(x1 / x4) * 0.29308704)) / (x5 + x0)))"
19,0.00052020134,"((x1 * 1.084218) - x0) * ((square(x1 / x4) / ((exp(x3) * x5) + x0)) * 0.2751968)"
20,0.00051285146,"(square(x1 / x4) * ((x1 * 1.0841897) - x0)) * (0.28152698 / ((x5 * (x3 + 1.5782388)) + x0))"
21,0.00050893717,"((((x1 * 1.0863986) - x0) / (x0 + tanh(0.64278364 / (0.27121335 - x3)))) * square(x1 / x4)) * 0.27544805"
22,0.00050056435,"square(x1 / x4) * (((x1 * 1.0925299) - x0) * (0.26355618 / (((x3 + 1.183338) * (x5 - x3)) + x0)))"
23,0.0004997234,"tanh(((square(x1 / x4) / (((x5 - x3) * (x3 + 1.340603)) + x0)) * 0.27956414) * ((x1 * 1.0872574) - x0))"
24,0.00049301184,"(((x1 * 1.0921377) - x0) * (square(x1 / x4) * 0.2646277)) / (x0 + ((x3 + 1.1647028) * (x5 - (x3 / 0.51870185))))"
25,0.00049165636,"tanh(((x1 * 1.1017898) - x0) * (square(x1 / x4) * (0.24915716 / (x0 + ((x5 - (x3 + x3)) * (x3 + 1.1653233))))))"
26,0.00049089344,"0.26576373 * ((((x1 * 1.0907353) - x0) * square(x1 / x4)) / (x0 + ((1.1629149 + x3) * ((x5 - x3) + (x5 - 0.5200982)))))"
27,0.0004883314,"tanh(((x1 * 1.1004922) - x0) * ((square(x1 / x4) * 0.26381665) / (x0 + ((x3 + 1.3165672) * (x5 - (x3 + (x3 + x3)))))))"
28,0.00048429472,"((x1 * 1.1017898) - x0) * ((square(x1 / x4) * 0.24915716) / (x0 + ((((x5 - (x3 + 0.6298867)) + x5) - x3) * (x3 + 1.1653233))))"
29,0.000483487,"tanh(((x1 * 1.0984206) - x0) * ((square(x1 / x4) * 0.25502813) / (x0 + ((x3 + 1.1646271) * (((x5 - (x3 + 0.63008755)) + x5) - x3)))))"
30,0.00048160576,"tanh(((x1 * 1.1017898) - x0) * (square(x1 / x4) * (0.24915716 / (((1.1653233 + x3) * ((x5 - x3) + (x5 - (x3 + exp(x2))))) + x0))))"
