seed,p_energy,p_wasserstein,d_ks2d,d_kl
19021,0.05050000000000001,0.51,0.136,0.5618204492747891
16018,0.055525000000000005,0.065,0.127,0.549934649354874
17338,0.06637500000000002,0.285,0.1395,0.5327030767279949
13002,0.058375,0.01,0.133,0.552367133363704
16537,0.054900000000000004,0.045,0.134,0.5368866728523894
11968,0.05612500000000001,0.065,0.097,0.5539633329230942
13169,0.05630000000000001,0.085,0.11049999999999999,0.5716272717030367
14990,0.062475,0.045,0.1055,0.56746592830204
17763,0.0641,0.105,0.1225,0.54202726259135
17438,0.056875,0.03,0.11649999999999996,0.532267520986524
11847,0.05897500000000001,0.055,0.12000000000000001,0.546556099001696
19580,0.05140000000000001,0.025,0.1245,0.513351991863428
11595,0.061125,0.045,0.10949999999999999,0.5516144298665385
18933,0.05997500000000001,0.025,0.1455,0.5480765673361112
16973,0.06532500000000001,0.03,0.11550000000000002,0.5384032712035632
18141,0.06415000000000001,0.015,0.121,0.5198706631184522
14849,0.06505000000000001,0.005,0.11449999999999999,0.5646681343520963
17614,0.06925,0.275,0.122,0.522509758424703
11972,0.059425000000000006,0.075,0.131,0.5281871676029072
12604,0.063,0.03,0.11399999999999996,0.5507380425065902
19402,0.055549999999999995,0.165,0.12500000000000003,0.5237076323180687
11145,0.061500000000000006,0.01,0.122,0.5461198135549427
19566,0.059000000000000004,0.015,0.1395,0.53350536415483
16986,0.054125000000000006,0.155,0.11900000000000002,0.5408608257270654
12237,0.058175000000000004,0.005,0.1185,0.5314931245351542
10502,0.06970000000000001,0.17,0.1085,0.5426783208139174
11952,0.06495000000000001,0.065,0.1455,0.5413246832748204
11461,0.0632,0.025,0.1265,0.536558975939819
13901,0.058625,0.005,0.121,0.5351661533953584
18986,0.05157500000000001,0.055,0.1375,0.5515191018780743
15399,0.05777500000000001,0.025,0.153,0.554692942506062
16858,0.06595000000000001,0.075,0.1215,0.5289278062082978
10485,0.05210000000000001,0.215,0.1375,0.5356557390946185
13827,0.049675000000000004,0.02,0.12050000000000002,0.5601064575897702
18924,0.055625,0.075,0.1265,0.5537449018468295
14155,0.0709,0.055,0.119,0.5430884613129343
13882,0.0565,0.01,0.13599999999999998,0.5471463640412382
11241,0.064675,0.05,0.13049999999999998,0.5464802271549654
15451,0.06102500000000001,0.07,0.09699999999999998,0.5245495786015337
14469,0.060950000000000004,0.23,0.11800000000000001,0.5358853171360367
19061,0.065375,0.055,0.13249999999999998,0.5410125599159714
17174,0.06182500000000001,0.01,0.135,0.5444615741329926
11288,0.061950000000000005,0.06,0.11699999999999999,0.5438811263801755
13748,0.05435,0.145,0.12149999999999997,0.5324711775522171
13929,0.068225,0.005,0.11649999999999999,0.5268854435858645
13508,0.063675,0.19,0.131,0.5379094598262871
10895,0.04870000000000001,0.155,0.10949999999999999,0.5352534775257917
19605,0.05495000000000001,0.06,0.10599999999999998,0.5436642495481038
12755,0.05732500000000001,0.085,0.1275,0.5256097339017869
19984,0.05580000000000001,0.02,0.134,0.5458925039420945
11352,0.06037500000000001,0.07,0.11099999999999999,0.5421662707975057
10895,0.046900000000000004,0.025,0.1215,0.5460784175135704
13972,0.06380000000000001,0.07,0.12299999999999997,0.545990801524064
16208,0.057999999999999996,0.07,0.117,0.5241188901736056
14906,0.06237500000000001,0.035,0.1255,0.5299640797881551
13179,0.06815,0.06,0.1445,0.5594711468687261
10517,0.065625,0.07,0.124,0.5382011841854479
11767,0.0582,0.23,0.12400000000000003,0.5490233217060057
16049,0.061225,0.005,0.141,0.5501578498384683
11799,0.06745000000000001,0.065,0.1175,0.5201064113345863
12218,0.053625,0.005,0.12600000000000003,0.5566090110810841
15229,0.058625,0.005,0.1215,0.5310849498839922
10847,0.05607500000000001,0.005,0.118,0.537114417139204
12366,0.055175,0.015,0.12350000000000003,0.5351126946560996
11665,0.06385,0.37,0.1305,0.5268851019912777
10903,0.058875000000000004,0.155,0.12550000000000003,0.535486169107089
10054,0.057575,0.195,0.12400000000000003,0.5293206845204077
12256,0.05710000000000001,0.025,0.14350000000000002,0.540520024693122
10288,0.06542500000000001,0.175,0.11699999999999997,0.5045210904757407
15578,0.0555,0.005,0.1235,0.5362827189614212
18131,0.053025,0.1,0.1295,0.5451398848507406
19663,0.0702,0.3,0.10599999999999998,0.5523662906997353
17444,0.051425,0.015,0.14049999999999999,0.5577935658838777
12633,0.0432,0.055,0.14700000000000002,0.5571558930088162
12687,0.059875000000000005,0.195,0.10800000000000001,0.5440083907228475
15898,0.06305000000000001,0.295,0.11649999999999996,0.536843966826057
11055,0.057525000000000014,0.125,0.12299999999999997,0.5578790607202051
13528,0.05292500000000001,0.085,0.11750000000000002,0.5463103703754835
19227,0.061900000000000004,0.095,0.11699999999999999,0.547283431767186
11958,0.061575000000000005,0.03,0.13599999999999998,0.5250759388277142
19818,0.056850000000000005,0.055,0.1245,0.557190009984851
13022,0.059875000000000005,0.37,0.1225,0.5383716625234064
10344,0.05840000000000001,0.01,0.129,0.5396886879364624
10038,0.06415000000000001,0.04,0.13649999999999998,0.5632816336932498
15950,0.056799999999999996,0.4,0.121,0.5287169483143409
19131,0.06470000000000001,0.26,0.11149999999999999,0.5356512952705939
19761,0.05647500000000001,0.01,0.13999999999999999,0.523314322860264
11664,0.05840000000000001,0.095,0.15,0.5314464273539639
15502,0.056650000000000006,0.025,0.14100000000000001,0.5405038699119289
19144,0.0599,0.065,0.1225,0.5581933779711756
18889,0.072075,0.005,0.14250000000000002,0.551816997673596
12637,0.06860000000000001,0.005,0.15950000000000003,0.5324264121587405
17453,0.066075,0.005,0.13300000000000003,0.5306226329413284
12764,0.05550000000000001,0.085,0.11350000000000002,0.5534779851692733
10110,0.061524999999999996,0.11,0.136,0.5356416426745092
15546,0.05945,0.075,0.1165,0.5512223389585267
11121,0.0559,0.41,0.12149999999999997,0.5222681982149995
18979,0.059800000000000006,0.03,0.1325,0.5504979312658438
12425,0.06375,0.025,0.122,0.5351492895866616
10173,0.05715,0.005,0.14500000000000002,0.5385260215178362
12644,0.056150000000000005,0.04,0.11049999999999999,0.5388997928762729
17737,0.060125000000000005,0.12,0.11600000000000002,0.5308288739641691
12054,0.064,0.095,0.13500000000000004,0.5434472286453153
19735,0.056675,0.125,0.144,0.5545233874880761
18132,0.0553,0.025,0.131,0.5322236570660654
19705,0.05895,0.03,0.1445,0.5532488747965661
19772,0.065975,0.09,0.12250000000000003,0.5332065525573311
11187,0.068,0.105,0.1355,0.5379925352233766
14233,0.05955,0.04,0.13599999999999998,0.5499237353421967
19993,0.05965,0.05,0.1225,0.5231471270619619
13545,0.059275,0.105,0.1375,0.5355842116545657
13134,0.057675000000000004,0.06,0.1275,0.5444282509893732
18903,0.062075000000000005,0.035,0.1355,0.540726464035448
16979,0.05465,0.14,0.12499999999999997,0.513163355215311
10178,0.06045,0.02,0.12550000000000003,0.5512755340559853
14586,0.060075,0.065,0.13749999999999998,0.5407416333633737
17084,0.053200000000000004,0.065,0.1405,0.5497448294267826
19107,0.06995000000000001,0.005,0.1365,0.5466687347689252
14531,0.053975,0.16,0.12200000000000003,0.5440416502099898
10355,0.0608,0.25,0.11599999999999996,0.5371513411996295
15411,0.05655,0.07,0.134,0.5515724266016879
10074,0.065925,0.04,0.128,0.5232041536031936
11573,0.047025000000000004,0.045,0.14150000000000001,0.5280288710420573
14089,0.06925,0.025,0.12800000000000003,0.5290633106425876
18741,0.06309999999999999,0.005,0.1315,0.5573041297956003
11504,0.059625000000000004,0.195,0.12200000000000003,0.5259126856631736
15673,0.062025000000000004,0.11,0.11150000000000002,0.5306253034411146
12740,0.05865,0.04,0.114,0.5447494601651952
15467,0.053275,0.14,0.10600000000000001,0.5484867820973068
11714,0.0646,0.11,0.1265,0.5386931508734698
15857,0.061125000000000006,0.03,0.118,0.535832509559734
13852,0.057475000000000005,0.225,0.131,0.5302128951295885
17077,0.06602500000000001,0.095,0.13649999999999998,0.5487716923675382
17497,0.05935000000000001,0.005,0.14200000000000002,0.5643135132510877
11161,0.060975,0.1,0.14950000000000002,0.5298628443043771
17115,0.060700000000000004,0.06,0.12499999999999997,0.5674664378246936
11559,0.060625,0.02,0.122,0.567216233098785
13393,0.05247500000000001,0.125,0.1645,0.5622172221415014
11161,0.053450000000000004,0.215,0.12850000000000003,0.5687497280076386
14741,0.057775,0.145,0.12300000000000003,0.5470408245258871
10334,0.049574999999999994,0.22,0.12999999999999998,0.5363789897000664
10309,0.06717500000000001,0.535,0.12300000000000001,0.5400075942140232
11429,0.06185,0.11,0.13,0.5426352523026963
12302,0.049100000000000005,0.115,0.1345,0.5652097037939077
18637,0.05887500000000001,0.025,0.137,0.5509488917162263
13140,0.055625,0.04,0.13,0.5592737301337078
11759,0.0667,0.135,0.1175,0.5137049379860021
